objective_parameter,scenario_of_interest,robustness_metric,year,drought_agr,Value,normalized_values,pw_combi
Crop_Productivity_Loss_[%],D,average,20,0,20.0,1.0,00_00_00_00
Crop_Productivity_Loss_[%],D,average,20,1,20.0,1.03,00_01_00_00
Crop_Productivity_Loss_[%],D,average,20,3,20.0,0.96,00_03_00_00
Crop_Productivity_Loss_[%],D,average,20,5,20.0,0.84,00_05_00_00
Crop_Productivity_Loss_[%],D,average,20,6,20.0,0.88,00_06_00_00
Crop_Productivity_Loss_[%],D,average,20,7,20.0,0.68,00_07_00_00
Crop_Productivity_Loss_[%],D,average,20,8,20.0,0.68,00_08_00_00
Crop_Productivity_Loss_[%],D,average,20,9,20.0,0.88,00_09_00_00
Crop_Productivity_Loss_[%],D,average,60,0,30.0,1.02,00_00_00_00
Crop_Productivity_Loss_[%],D,average,60,1,20.0,0.75,00_01_00_00
Crop_Productivity_Loss_[%],D,average,60,3,20.0,0.75,00_03_00_00
Crop_Productivity_Loss_[%],D,average,60,5,10.0,0.44,00_05_00_00
Crop_Productivity_Loss_[%],D,average,60,6,20.0,0.56,00_06_00_00
Crop_Productivity_Loss_[%],D,average,60,7,10.0,0.38,00_07_00_00
Crop_Productivity_Loss_[%],D,average,60,8,10.0,0.4,00_08_00_00
Crop_Productivity_Loss_[%],D,average,60,9,20.0,0.72,00_09_00_00
Crop_Productivity_Loss_[%],D,average,100,0,30.0,1.05,00_00_00_00
Crop_Productivity_Loss_[%],D,average,100,1,20.0,0.66,00_01_00_00
Crop_Productivity_Loss_[%],D,average,100,3,20.0,0.67,00_03_00_00
Crop_Productivity_Loss_[%],D,average,100,5,10.0,0.38,00_05_00_00
Crop_Productivity_Loss_[%],D,average,100,6,10.0,0.45,00_06_00_00
Crop_Productivity_Loss_[%],D,average,100,7,10.0,0.36,00_07_00_00
Crop_Productivity_Loss_[%],D,average,100,8,10.0,0.38,00_08_00_00
Crop_Productivity_Loss_[%],D,average,100,9,20.0,0.65,00_09_00_00
Crop_Productivity_Loss_[%],D&G,average,20,0,20.0,1.0,00_00_00_00
Crop_Productivity_Loss_[%],D&G,average,20,1,20.0,1.02,00_01_00_00
Crop_Productivity_Loss_[%],D&G,average,20,3,20.0,0.96,00_03_00_00
Crop_Productivity_Loss_[%],D&G,average,20,5,20.0,0.84,00_05_00_00
Crop_Productivity_Loss_[%],D&G,average,20,6,20.0,0.88,00_06_00_00
Crop_Productivity_Loss_[%],D&G,average,20,7,20.0,0.67,00_07_00_00
Crop_Productivity_Loss_[%],D&G,average,20,8,20.0,0.68,00_08_00_00
Crop_Productivity_Loss_[%],D&G,average,20,9,20.0,0.87,00_09_00_00
Crop_Productivity_Loss_[%],D&G,average,60,0,30.0,1.02,00_00_00_00
Crop_Productivity_Loss_[%],D&G,average,60,1,20.0,0.74,00_01_00_00
Crop_Productivity_Loss_[%],D&G,average,60,3,20.0,0.74,00_03_00_00
Crop_Productivity_Loss_[%],D&G,average,60,5,10.0,0.44,00_05_00_00
Crop_Productivity_Loss_[%],D&G,average,60,6,20.0,0.55,00_06_00_00
Crop_Productivity_Loss_[%],D&G,average,60,7,10.0,0.38,00_07_00_00
Crop_Productivity_Loss_[%],D&G,average,60,8,10.0,0.42,00_08_00_00
Crop_Productivity_Loss_[%],D&G,average,60,9,20.0,0.71,00_09_00_00
Crop_Productivity_Loss_[%],D&G,average,100,0,30.0,1.04,00_00_00_00
Crop_Productivity_Loss_[%],D&G,average,100,1,20.0,0.65,00_01_00_00
Crop_Productivity_Loss_[%],D&G,average,100,3,20.0,0.65,00_03_00_00
Crop_Productivity_Loss_[%],D&G,average,100,5,10.0,0.37,00_05_00_00
Crop_Productivity_Loss_[%],D&G,average,100,6,10.0,0.44,00_06_00_00
Crop_Productivity_Loss_[%],D&G,average,100,7,10.0,0.36,00_07_00_00
Crop_Productivity_Loss_[%],D&G,average,100,8,10.0,0.39,00_08_00_00
Crop_Productivity_Loss_[%],D&G,average,100,9,20.0,0.63,00_09_00_00
Crop_Productivity_Loss_[%],D&G&Wp,average,20,0,30.0,1.0,00_00_00_00
Crop_Productivity_Loss_[%],D&G&Wp,average,20,1,30.0,1.02,00_01_00_00
Crop_Productivity_Loss_[%],D&G&Wp,average,20,3,20.0,0.95,00_03_00_00
Crop_Productivity_Loss_[%],D&G&Wp,average,20,5,20.0,0.8,00_05_00_00
Crop_Productivity_Loss_[%],D&G&Wp,average,20,6,20.0,0.86,00_06_00_00
Crop_Productivity_Loss_[%],D&G&Wp,average,20,7,20.0,0.6,00_07_00_00
Crop_Productivity_Loss_[%],D&G&Wp,average,20,8,20.0,0.61,00_08_00_00
Crop_Productivity_Loss_[%],D&G&Wp,average,20,9,20.0,0.86,00_09_00_00
Crop_Productivity_Loss_[%],D&G&Wp,average,60,0,40.0,1.02,00_00_00_00
Crop_Productivity_Loss_[%],D&G&Wp,average,60,1,30.0,0.65,00_01_00_00
Crop_Productivity_Loss_[%],D&G&Wp,average,60,3,20.0,0.65,00_03_00_00
Crop_Productivity_Loss_[%],D&G&Wp,average,60,5,20.0,0.37,00_05_00_00
Crop_Productivity_Loss_[%],D&G&Wp,average,60,6,20.0,0.46,00_06_00_00
Crop_Productivity_Loss_[%],D&G&Wp,average,60,7,20.0,0.33,00_07_00_00
Crop_Productivity_Loss_[%],D&G&Wp,average,60,8,20.0,0.41,00_08_00_00
Crop_Productivity_Loss_[%],D&G&Wp,average,60,9,20.0,0.62,00_09_00_00
Crop_Productivity_Loss_[%],D&G&Wp,average,100,0,40.0,1.03,00_00_00_00
Crop_Productivity_Loss_[%],D&G&Wp,average,100,1,20.0,0.52,00_01_00_00
Crop_Productivity_Loss_[%],D&G&Wp,average,100,3,20.0,0.52,00_03_00_00
Crop_Productivity_Loss_[%],D&G&Wp,average,100,5,20.0,0.32,00_05_00_00
Crop_Productivity_Loss_[%],D&G&Wp,average,100,6,20.0,0.33,00_06_00_00
Crop_Productivity_Loss_[%],D&G&Wp,average,100,7,20.0,0.28,00_07_00_00
Crop_Productivity_Loss_[%],D&G&Wp,average,100,8,20.0,0.38,00_08_00_00
Crop_Productivity_Loss_[%],D&G&Wp,average,100,9,20.0,0.48,00_09_00_00
Crop_Productivity_Loss_[%],D&Wp,average,20,0,30.0,1.0,00_00_00_00
Crop_Productivity_Loss_[%],D&Wp,average,20,1,30.0,1.02,00_01_00_00
Crop_Productivity_Loss_[%],D&Wp,average,20,3,30.0,0.95,00_03_00_00
Crop_Productivity_Loss_[%],D&Wp,average,20,5,20.0,0.78,00_05_00_00
Crop_Productivity_Loss_[%],D&Wp,average,20,6,20.0,0.85,00_06_00_00
Crop_Productivity_Loss_[%],D&Wp,average,20,7,20.0,0.57,00_07_00_00
Crop_Productivity_Loss_[%],D&Wp,average,20,8,20.0,0.59,00_08_00_00
Crop_Productivity_Loss_[%],D&Wp,average,20,9,20.0,0.85,00_09_00_00
Crop_Productivity_Loss_[%],D&Wp,average,60,0,40.0,1.02,00_00_00_00
Crop_Productivity_Loss_[%],D&Wp,average,60,1,30.0,0.63,00_01_00_00
Crop_Productivity_Loss_[%],D&Wp,average,60,3,30.0,0.62,00_03_00_00
Crop_Productivity_Loss_[%],D&Wp,average,60,5,20.0,0.35,00_05_00_00
Crop_Productivity_Loss_[%],D&Wp,average,60,6,20.0,0.42,00_06_00_00
Crop_Productivity_Loss_[%],D&Wp,average,60,7,20.0,0.31,00_07_00_00
Crop_Productivity_Loss_[%],D&Wp,average,60,8,20.0,0.4,00_08_00_00
Crop_Productivity_Loss_[%],D&Wp,average,60,9,30.0,0.59,00_09_00_00
Crop_Productivity_Loss_[%],D&Wp,average,100,0,50.0,1.03,00_00_00_00
Crop_Productivity_Loss_[%],D&Wp,average,100,1,20.0,0.49,00_01_00_00
Crop_Productivity_Loss_[%],D&Wp,average,100,3,20.0,0.49,00_03_00_00
Crop_Productivity_Loss_[%],D&Wp,average,100,5,20.0,0.31,00_05_00_00
Crop_Productivity_Loss_[%],D&Wp,average,100,6,20.0,0.3,00_06_00_00
Crop_Productivity_Loss_[%],D&Wp,average,100,7,20.0,0.26,00_07_00_00
Crop_Productivity_Loss_[%],D&Wp,average,100,8,20.0,0.37,00_08_00_00
Crop_Productivity_Loss_[%],D&Wp,average,100,9,20.0,0.44,00_09_00_00
Crop_Productivity_Loss_[%],G,average,20,0,20.0,0.99,00_00_00_00
Crop_Productivity_Loss_[%],G,average,20,1,20.0,1.02,00_01_00_00
Crop_Productivity_Loss_[%],G,average,20,3,20.0,0.95,00_03_00_00
Crop_Productivity_Loss_[%],G,average,20,5,20.0,0.84,00_05_00_00
Crop_Productivity_Loss_[%],G,average,20,6,20.0,0.87,00_06_00_00
Crop_Productivity_Loss_[%],G,average,20,7,20.0,0.66,00_07_00_00
Crop_Productivity_Loss_[%],G,average,20,8,20.0,0.67,00_08_00_00
Crop_Productivity_Loss_[%],G,average,20,9,20.0,0.87,00_09_00_00
Crop_Productivity_Loss_[%],G,average,60,0,30.0,1.02,00_00_00_00
Crop_Productivity_Loss_[%],G,average,60,1,20.0,0.74,00_01_00_00
Crop_Productivity_Loss_[%],G,average,60,3,20.0,0.73,00_03_00_00
Crop_Productivity_Loss_[%],G,average,60,5,20.0,0.43,00_05_00_00
Crop_Productivity_Loss_[%],G,average,60,6,20.0,0.55,00_06_00_00
Crop_Productivity_Loss_[%],G,average,60,7,10.0,0.39,00_07_00_00
Crop_Productivity_Loss_[%],G,average,60,8,20.0,0.43,00_08_00_00
Crop_Productivity_Loss_[%],G,average,60,9,20.0,0.7,00_09_00_00
Crop_Productivity_Loss_[%],G,average,100,0,30.0,1.03,00_00_00_00
Crop_Productivity_Loss_[%],G,average,100,1,20.0,0.63,00_01_00_00
Crop_Productivity_Loss_[%],G,average,100,3,20.0,0.63,00_03_00_00
Crop_Productivity_Loss_[%],G,average,100,5,10.0,0.37,00_05_00_00
Crop_Productivity_Loss_[%],G,average,100,6,20.0,0.43,00_06_00_00
Crop_Productivity_Loss_[%],G,average,100,7,10.0,0.37,00_07_00_00
Crop_Productivity_Loss_[%],G,average,100,8,10.0,0.41,00_08_00_00
Crop_Productivity_Loss_[%],G,average,100,9,20.0,0.6,00_09_00_00
Crop_Productivity_Loss_[%],G&Wp,average,20,0,30.0,1.0,00_00_00_00
Crop_Productivity_Loss_[%],G&Wp,average,20,1,30.0,1.02,00_01_00_00
Crop_Productivity_Loss_[%],G&Wp,average,20,3,30.0,0.95,00_03_00_00
Crop_Productivity_Loss_[%],G&Wp,average,20,5,20.0,0.79,00_05_00_00
Crop_Productivity_Loss_[%],G&Wp,average,20,6,20.0,0.85,00_06_00_00
Crop_Productivity_Loss_[%],G&Wp,average,20,7,20.0,0.57,00_07_00_00
Crop_Productivity_Loss_[%],G&Wp,average,20,8,20.0,0.59,00_08_00_00
Crop_Productivity_Loss_[%],G&Wp,average,20,9,20.0,0.85,00_09_00_00
Crop_Productivity_Loss_[%],G&Wp,average,60,0,40.0,1.02,00_00_00_00
Crop_Productivity_Loss_[%],G&Wp,average,60,1,30.0,0.62,00_01_00_00
Crop_Productivity_Loss_[%],G&Wp,average,60,3,30.0,0.61,00_03_00_00
Crop_Productivity_Loss_[%],G&Wp,average,60,5,20.0,0.35,00_05_00_00
Crop_Productivity_Loss_[%],G&Wp,average,60,6,20.0,0.42,00_06_00_00
Crop_Productivity_Loss_[%],G&Wp,average,60,7,20.0,0.32,00_07_00_00
Crop_Productivity_Loss_[%],G&Wp,average,60,8,20.0,0.41,00_08_00_00
Crop_Productivity_Loss_[%],G&Wp,average,60,9,30.0,0.58,00_09_00_00
Crop_Productivity_Loss_[%],G&Wp,average,100,0,50.0,1.02,00_00_00_00
Crop_Productivity_Loss_[%],G&Wp,average,100,1,30.0,0.49,00_01_00_00
Crop_Productivity_Loss_[%],G&Wp,average,100,3,30.0,0.49,00_03_00_00
Crop_Productivity_Loss_[%],G&Wp,average,100,5,20.0,0.31,00_05_00_00
Crop_Productivity_Loss_[%],G&Wp,average,100,6,20.0,0.3,00_06_00_00
Crop_Productivity_Loss_[%],G&Wp,average,100,7,20.0,0.27,00_07_00_00
Crop_Productivity_Loss_[%],G&Wp,average,100,8,20.0,0.38,00_08_00_00
Crop_Productivity_Loss_[%],G&Wp,average,100,9,20.0,0.44,00_09_00_00
Crop_Productivity_Loss_[%],Wp,average,20,0,30.0,1.0,00_00_00_00
Crop_Productivity_Loss_[%],Wp,average,20,1,30.0,1.02,00_01_00_00
Crop_Productivity_Loss_[%],Wp,average,20,3,30.0,0.94,00_03_00_00
Crop_Productivity_Loss_[%],Wp,average,20,5,20.0,0.75,00_05_00_00
Crop_Productivity_Loss_[%],Wp,average,20,6,30.0,0.82,00_06_00_00
Crop_Productivity_Loss_[%],Wp,average,20,7,20.0,0.51,00_07_00_00
Crop_Productivity_Loss_[%],Wp,average,20,8,20.0,0.53,00_08_00_00
Crop_Productivity_Loss_[%],Wp,average,20,9,30.0,0.83,00_09_00_00
Crop_Productivity_Loss_[%],Wp,average,60,0,50.0,1.02,00_00_00_00
Crop_Productivity_Loss_[%],Wp,average,60,1,30.0,0.57,00_01_00_00
Crop_Productivity_Loss_[%],Wp,average,60,3,30.0,0.56,00_03_00_00
Crop_Productivity_Loss_[%],Wp,average,60,5,20.0,0.31,00_05_00_00
Crop_Productivity_Loss_[%],Wp,average,60,6,20.0,0.37,00_06_00_00
