objective_parameter,scenario_of_interest,robustness_metric,year,drought_agr,Value,normalized_values,pw_combi
Crop_Loss,D,average,20,00,34.48,1.0,00_00_00_00
Crop_Loss,D,average,20,01,35.63,1.03,00_01_00_00
Crop_Loss,D,average,20,03,33.04,0.96,00_03_00_00
Crop_Loss,D,average,20,05,29.26,0.85,00_05_00_00
Crop_Loss,D,average,20,06,30.42,0.88,00_06_00_00
Crop_Loss,D,average,20,07,23.36,0.68,00_07_00_00
Crop_Loss,D,average,20,08,23.72,0.69,00_08_00_00
Crop_Loss,D,average,20,09,30.32,0.88,00_09_00_00
Crop_Loss,D,average,60,00,122.99,1.0,00_00_00_00
Crop_Loss,D,average,60,01,95.27,0.77,00_01_00_00
Crop_Loss,D,average,60,03,92.87,0.76,00_03_00_00
Crop_Loss,D,average,60,05,53.55,0.44,00_05_00_00
Crop_Loss,D,average,60,06,67.49,0.55,00_06_00_00
Crop_Loss,D,average,60,07,45.69,0.37,00_07_00_00
Crop_Loss,D,average,60,08,48.81,0.4,00_08_00_00
Crop_Loss,D,average,60,09,88.84,0.72,00_09_00_00
Crop_Loss,D,average,100,00,196.53,1.0,00_00_00_00
Crop_Loss,D,average,100,01,135.96,0.69,00_01_00_00
Crop_Loss,D,average,100,03,133.56,0.68,00_03_00_00
Crop_Loss,D,average,100,05,68.57,0.35,00_05_00_00
Crop_Loss,D,average,100,06,82.03,0.42,00_06_00_00
Crop_Loss,D,average,100,07,64.1,0.33,00_07_00_00
Crop_Loss,D,average,100,08,69.81,0.36,00_08_00_00
Crop_Loss,D,average,100,09,128.19,0.65,00_09_00_00
Crop_Loss,D&G,average,20,00,35.2,1.0,00_00_00_00
Crop_Loss,D&G,average,20,01,36.27,1.03,00_01_00_00
Crop_Loss,D&G,average,20,03,33.74,0.96,00_03_00_00
Crop_Loss,D&G,average,20,05,29.86,0.85,00_05_00_00
Crop_Loss,D&G,average,20,06,31.06,0.88,00_06_00_00
Crop_Loss,D&G,average,20,07,23.78,0.68,00_07_00_00
Crop_Loss,D&G,average,20,08,24.15,0.69,00_08_00_00
Crop_Loss,D&G,average,20,09,30.91,0.88,00_09_00_00
Crop_Loss,D&G,average,60,00,129.66,1.0,00_00_00_00
Crop_Loss,D&G,average,60,01,99.71,0.77,00_01_00_00
Crop_Loss,D&G,average,60,03,96.92,0.75,00_03_00_00
Crop_Loss,D&G,average,60,05,55.6,0.43,00_05_00_00
Crop_Loss,D&G,average,60,06,70.47,0.54,00_06_00_00
Crop_Loss,D&G,average,60,07,48.77,0.38,00_07_00_00
Crop_Loss,D&G,average,60,08,53.78,0.41,00_08_00_00
Crop_Loss,D&G,average,60,09,92.72,0.72,00_09_00_00
Crop_Loss,D&G,average,100,00,214.42,1.0,00_00_00_00
Crop_Loss,D&G,average,100,01,147.66,0.69,00_01_00_00
Crop_Loss,D&G,average,100,03,144.87,0.68,00_03_00_00
Crop_Loss,D&G,average,100,05,76.38,0.36,00_05_00_00
Crop_Loss,D&G,average,100,06,90.34,0.42,00_06_00_00
Crop_Loss,D&G,average,100,07,73.45,0.34,00_07_00_00
Crop_Loss,D&G,average,100,08,82.35,0.38,00_08_00_00
Crop_Loss,D&G,average,100,09,138.91,0.65,00_09_00_00
Crop_Loss,D&G&Wp,average,20,00,40.61,1.0,00_00_00_00
Crop_Loss,D&G&Wp,average,20,01,41.6,1.02,00_01_00_00
Crop_Loss,D&G&Wp,average,20,03,38.7,0.95,00_03_00_00
