objective_parameter,scenario_of_interest,robustness_metric,year,drought_agr,Value,normalized_values,pw_combi
Crop_Loss,D,average,20,00,34.41,1.0,00_00_00_00
Crop_Loss,D,average,20,01,35.28,1.03,00_01_00_00
Crop_Loss,D,average,20,03,32.95,0.96,00_03_00_00
Crop_Loss,D,average,20,05,29.15,0.84,00_05_00_00
Crop_Loss,D,average,20,06,30.32,0.88,00_06_00_00
Crop_Loss,D,average,20,07,23.22,0.68,00_07_00_00
Crop_Loss,D,average,20,08,23.58,0.68,00_08_00_00
Crop_Loss,D,average,20,09,30.22,0.88,00_09_00_00
Crop_Loss,D,average,60,00,125.74,1.02,00_00_00_00
Crop_Loss,D,average,60,01,92.83,0.75,00_01_00_00
Crop_Loss,D,average,60,03,91.8,0.75,00_03_00_00
Crop_Loss,D,average,60,05,54.64,0.44,00_05_00_00
Crop_Loss,D,average,60,06,68.87,0.56,00_06_00_00
Crop_Loss,D,average,60,07,46.83,0.38,00_07_00_00
Crop_Loss,D,average,60,08,49.5,0.4,00_08_00_00
Crop_Loss,D,average,60,09,88.34,0.72,00_09_00_00
Crop_Loss,D,average,100,00,206.16,1.05,00_00_00_00
Crop_Loss,D,average,100,01,130.16,0.66,00_01_00_00
Crop_Loss,D,average,100,03,131.0,0.67,00_03_00_00
Crop_Loss,D,average,100,05,74.12,0.38,00_05_00_00
Crop_Loss,D,average,100,06,87.86,0.45,00_06_00_00
Crop_Loss,D,average,100,07,69.92,0.36,00_07_00_00
Crop_Loss,D,average,100,08,74.1,0.38,00_08_00_00
Crop_Loss,D,average,100,09,127.56,0.65,00_09_00_00
Crop_Loss,D&G,average,20,00,35.04,1.0,00_00_00_00
Crop_Loss,D&G,average,20,01,35.94,1.02,00_01_00_00
Crop_Loss,D&G,average,20,03,33.57,0.96,00_03_00_00
Crop_Loss,D&G,average,20,05,29.67,0.84,00_05_00_00
Crop_Loss,D&G,average,20,06,30.88,0.88,00_06_00_00
Crop_Loss,D&G,average,20,07,23.54,0.67,00_07_00_00
Crop_Loss,D&G,average,20,08,23.91,0.68,00_08_00_00
Crop_Loss,D&G,average,20,09,30.71,0.87,00_09_00_00
Crop_Loss,D&G,average,60,00,132.64,1.02,00_00_00_00
Crop_Loss,D&G,average,60,01,96.74,0.74,00_01_00_00
Crop_Loss,D&G,average,60,03,95.34,0.74,00_03_00_00
Crop_Loss,D&G,average,60,05,56.61,0.44,00_05_00_00
Crop_Loss,D&G,average,60,06,71.68,0.55,00_06_00_00
Crop_Loss,D&G,average,60,07,49.88,0.38,00_07_00_00
Crop_Loss,D&G,average,60,08,54.27,0.42,00_08_00_00
Crop_Loss,D&G,average,60,09,91.78,0.71,00_09_00_00
Crop_Loss,D&G,average,100,00,223.32,1.04,00_00_00_00
Crop_Loss,D&G,average,100,01,138.39,0.65,00_01_00_00
Crop_Loss,D&G,average,100,03,138.57,0.65,00_03_00_00
Crop_Loss,D&G,average,100,05,80.13,0.37,00_05_00_00
Crop_Loss,D&G,average,100,06,94.21,0.44,00_06_00_00
Crop_Loss,D&G,average,100,07,77.57,0.36,00_07_00_00
Crop_Loss,D&G,average,100,08,84.23,0.39,00_08_00_00
Crop_Loss,D&G,average,100,09,134.03,0.63,00_09_00_00
Crop_Loss,D&G&Wp,average,20,00,40.54,1.0,00_00_00_00
Crop_Loss,D&G&Wp,average,20,01,41.37,1.02,00_01_00_00
Crop_Loss,D&G&Wp,average,20,03,38.55,0.95,00_03_00_00
Crop_Loss,D&G&Wp,average,20,05,32.53,0.8,00_05_00_00
Crop_Loss,D&G&Wp,average,20,06,34.69,0.86,00_06_00_00
Crop_Loss,D&G&Wp,average,20,07,24.38,0.6,00_07_00_00
Crop_Loss,D&G&Wp,average,20,08,25.02,0.61,00_08_00_00
Crop_Loss,D&G&Wp,average,20,09,34.75,0.86,00_09_00_00
Crop_Loss,D&G&Wp,average,60,00,182.49,1.02,00_00_00_00
Crop_Loss,D&G&Wp,average,60,01,116.93,0.65,00_01_00_00
Crop_Loss,D&G&Wp,average,60,03,115.28,0.65,00_03_00_00
Crop_Loss,D&G&Wp,average,60,05,66.41,0.37,00_05_00_00
Crop_Loss,D&G&Wp,average,60,06,81.6,0.46,00_06_00_00
Crop_Loss,D&G&Wp,average,60,07,59.43,0.33,00_07_00_00
Crop_Loss,D&G&Wp,average,60,08,72.86,0.41,00_08_00_00
Crop_Loss,D&G&Wp,average,60,09,109.97,0.62,00_09_00_00
Crop_Loss,D&G&Wp,average,100,00,351.36,1.03,00_00_00_00
Crop_Loss,D&G&Wp,average,100,01,177.8,0.52,00_01_00_00
