objective_parameter,scenario_of_interest,robustness_metric,year,drought_agr,Value,normalized_values,pw_combi
Crop_Loss,D,average,20,00,33.73,0.98,00_00_00_00
Crop_Loss,D,average,20,01,34.63,1.01,00_01_00_00
Crop_Loss,D,average,20,03,32.27,0.94,00_03_00_00
Crop_Loss,D,average,20,05,28.55,0.83,00_05_00_00
Crop_Loss,D,average,20,06,29.65,0.86,00_06_00_00
Crop_Loss,D,average,20,07,22.64,0.66,00_07_00_00
Crop_Loss,D,average,20,08,23.0,0.67,00_08_00_00
Crop_Loss,D,average,20,09,29.52,0.86,00_09_00_00
Crop_Loss,D,average,60,00,124.61,1.01,00_00_00_00
Crop_Loss,D,average,60,01,92.7,0.75,00_01_00_00
Crop_Loss,D,average,60,03,91.13,0.74,00_03_00_00
Crop_Loss,D,average,60,05,54.24,0.44,00_05_00_00
Crop_Loss,D,average,60,06,68.6,0.56,00_06_00_00
Crop_Loss,D,average,60,07,45.97,0.37,00_07_00_00
Crop_Loss,D,average,60,08,48.6,0.4,00_08_00_00
Crop_Loss,D,average,60,09,88.06,0.72,00_09_00_00
Crop_Loss,D,average,100,00,202.09,1.03,00_00_00_00
Crop_Loss,D,average,100,01,130.28,0.66,00_01_00_00
Crop_Loss,D,average,100,03,129.86,0.66,00_03_00_00
Crop_Loss,D,average,100,05,72.39,0.37,00_05_00_00
Crop_Loss,D,average,100,06,86.42,0.44,00_06_00_00
Crop_Loss,D,average,100,07,67.41,0.34,00_07_00_00
Crop_Loss,D,average,100,08,71.43,0.36,00_08_00_00
Crop_Loss,D,average,100,09,127.47,0.65,00_09_00_00
Crop_Loss,D&G,average,20,00,34.34,0.98,00_00_00_00
Crop_Loss,D&G,average,20,01,35.26,1.0,00_01_00_00
Crop_Loss,D&G,average,20,03,32.85,0.94,00_03_00_00
Crop_Loss,D&G,average,20,05,29.0,0.82,00_05_00_00
Crop_Loss,D&G,average,20,06,30.15,0.86,00_06_00_00
Crop_Loss,D&G,average,20,07,22.83,0.65,00_07_00_00
Crop_Loss,D&G,average,20,08,23.2,0.66,00_08_00_00
Crop_Loss,D&G,average,20,09,29.95,0.85,00_09_00_00
Crop_Loss,D&G,average,60,00,130.83,1.01,00_00_00_00
Crop_Loss,D&G,average,60,01,95.88,0.74,00_01_00_00
Crop_Loss,D&G,average,60,03,93.96,0.72,00_03_00_00
Crop_Loss,D&G,average,60,05,55.35,0.43,00_05_00_00
Crop_Loss,D&G,average,60,06,70.64,0.55,00_06_00_00
Crop_Loss,D&G,average,60,07,48.14,0.37,00_07_00_00
Crop_Loss,D&G,average,60,08,52.53,0.4,00_08_00_00
Crop_Loss,D&G,average,60,09,90.79,0.7,00_09_00_00
Crop_Loss,D&G,average,100,00,216.32,1.01,00_00_00_00
Crop_Loss,D&G,average,100,01,136.08,0.64,00_01_00_00
Crop_Loss,D&G,average,100,03,135.26,0.63,00_03_00_00
Crop_Loss,D&G,average,100,05,75.24,0.35,00_05_00_00
Crop_Loss,D&G,average,100,06,89.7,0.42,00_06_00_00
Crop_Loss,D&G,average,100,07,71.83,0.34,00_07_00_00
Crop_Loss,D&G,average,100,08,78.66,0.37,00_08_00_00
