objective_parameter,scenario_of_interest,robustness_metric,year,drought_agr,Value,normalized_values,pw_combi
Crop_Loss,D,average,20,00,33.76,0.98,00_00_00_00
Crop_Loss,D,average,20,01,34.83,1.01,00_01_00_00
Crop_Loss,D,average,20,03,32.3,0.94,00_03_00_00
Crop_Loss,D,average,20,05,28.6,0.83,00_05_00_00
Crop_Loss,D,average,20,06,29.69,0.86,00_06_00_00
Crop_Loss,D,average,20,07,22.7,0.66,00_07_00_00
Crop_Loss,D,average,20,08,23.06,0.67,00_08_00_00
Crop_Loss,D,average,20,09,29.56,0.86,00_09_00_00
Crop_Loss,D,average,60,00,121.89,0.99,00_00_00_00
Crop_Loss,D,average,60,01,93.79,0.76,00_01_00_00
Crop_Loss,D,average,60,03,91.38,0.74,00_03_00_00
Crop_Loss,D,average,60,05,52.67,0.43,00_05_00_00
Crop_Loss,D,average,60,06,66.8,0.54,00_06_00_00
Crop_Loss,D,average,60,07,44.37,0.36,00_07_00_00
Crop_Loss,D,average,60,08,47.47,0.39,00_08_00_00
Crop_Loss,D,average,60,09,87.88,0.71,00_09_00_00
Crop_Loss,D,average,100,00,193.46,0.98,00_00_00_00
Crop_Loss,D,average,100,01,132.86,0.68,00_01_00_00
Crop_Loss,D,average,100,03,130.42,0.66,00_03_00_00
Crop_Loss,D,average,100,05,66.78,0.34,00_05_00_00
Crop_Loss,D,average,100,06,80.5,0.41,00_06_00_00
Crop_Loss,D,average,100,07,61.6,0.32,00_07_00_00
Crop_Loss,D,average,100,08,67.22,0.34,00_08_00_00
Crop_Loss,D,average,100,09,126.53,0.64,00_09_00_00
Crop_Loss,D&G,average,20,00,34.42,0.98,00_00_00_00
Crop_Loss,D&G,average,20,01,35.45,1.01,00_01_00_00
Crop_Loss,D&G,average,20,03,32.94,0.94,00_03_00_00
Crop_Loss,D&G,average,20,05,29.1,0.83,00_05_00_00
Crop_Loss,D&G,average,20,06,30.24,0.86,00_06_00_00
Crop_Loss,D&G,average,20,07,22.96,0.66,00_07_00_00
Crop_Loss,D&G,average,20,08,23.33,0.66,00_08_00_00
Crop_Loss,D&G,average,20,09,30.05,0.86,00_09_00_00
Crop_Loss,D&G,average,60,00,127.84,0.98,00_00_00_00
Crop_Loss,D&G,average,60,01,97.28,0.75,00_01_00_00
Crop_Loss,D&G,average,60,03,94.48,0.73,00_03_00_00
Crop_Loss,D&G,average,60,05,53.7,0.42,00_05_00_00
Crop_Loss,D&G,average,60,06,68.79,0.53,00_06_00_00
Crop_Loss,D&G,average,60,07,46.42,0.36,00_07_00_00
Crop_Loss,D&G,average,60,08,51.4,0.4,00_08_00_00
Crop_Loss,D&G,average,60,09,90.82,0.7,00_09_00_00
Crop_Loss,D&G,average,100,00,207.25,0.97,00_00_00_00
Crop_Loss,D&G,average,100,01,139.61,0.65,00_01_00_00
Crop_Loss,D&G,average,100,03,136.79,0.64,00_03_00_00
Crop_Loss,D&G,average,100,05,69.64,0.33,00_05_00_00
Crop_Loss,D&G,average,100,06,83.92,0.39,00_06_00_00
Crop_Loss,D&G,average,100,07,65.95,0.3,00_07_00_00
Crop_Loss,D&G,average,100,08,74.7,0.34,00_08_00_00
Crop_Loss,D&G,average,100,09,132.3,0.62,00_09_00_00
Crop_Loss,D&G&Wp,average,20,00,39.81,0.98,00_00_00_00
Crop_Loss,D&G&Wp,average,20,01,40.76,1.0,00_01_00_00
Crop_Loss,D&G&Wp,average,20,03,37.87,0.93,00_03_00_00
Crop_Loss,D&G&Wp,average,20,05,31.94,0.79,00_05_00_00
Crop_Loss,D&G&Wp,average,20,06,33.97,0.84,00_06_00_00
Crop_Loss,D&G&Wp,average,20,07,23.72,0.58,00_07_00_00
Crop_Loss,D&G&Wp,average,20,08,24.34,0.6,00_08_00_00
Crop_Loss,D&G&Wp,average,20,09,34.04,0.84,00_09_00_00
Crop_Loss,D&G&Wp,average,60,00,175.42,0.98,00_00_00_00
Crop_Loss,D&G&Wp,average,60,01,118.39,0.66,00_01_00_00
Crop_Loss,D&G&Wp,average,60,03,115.2,0.64,00_03_00_00
Crop_Loss,D&G&Wp,average,60,05,61.97,0.35,00_05_00_00
Crop_Loss,D&G&Wp,average,60,06,77.41,0.43,00_06_00_00
Crop_Loss,D&G&Wp,average,60,07,54.74,0.31,00_07_00_00
Crop_Loss,D&G&Wp,average,60,08,69.63,0.39,00_08_00_00
Crop_Loss,D&G&Wp,average,60,09,110.06,0.62,00_09_00_00
Crop_Loss,D&G&Wp,average,100,00,329.23,0.97,00_00_00_00
Crop_Loss,D&G&Wp,average,100,01,181.95,0.53,00_01_00_00
Crop_Loss,D&G&Wp,average,100,03,178.76,0.52,00_03_00_00
Crop_Loss,D&G&Wp,average,100,05,93.34,0.27,00_05_00_00
Crop_Loss,D&G&Wp,average,100,06,99.64,0.29,00_06_00_00
Crop_Loss,D&G&Wp,average,100,07,83.93,0.25,00_07_00_00
Crop_Loss,D&G&Wp,average,100,08,120.58,0.35,00_08_00_00
Crop_Loss,D&G&Wp,average,100,09,167.35,0.49,00_09_00_00
Crop_Loss,D&Wp,average,20,00,42.18,0.98,00_00_00_00
Crop_Loss,D&Wp,average,20,01,43.12,1.0,00_01_00_00
Crop_Loss,D&Wp,average,20,03,40.03,0.93,00_03_00_00
Crop_Loss,D&Wp,average,20,05,33.11,0.77,00_05_00_00
Crop_Loss,D&Wp,average,20,06,35.57,0.83,00_06_00_00
Crop_Loss,D&Wp,average,20,07,23.97,0.56,00_07_00_00
Crop_Loss,D&Wp,average,20,08,24.71,0.58,00_08_00_00
Crop_Loss,D&Wp,average,20,09,35.79,0.83,00_09_00_00
Crop_Loss,D&Wp,average,60,00,196.23,0.98,00_00_00_00
Crop_Loss,D&Wp,average,60,01,127.2,0.64,00_01_00_00
Crop_Loss,D&Wp,average,60,03,124.02,0.62,00_03_00_00
Crop_Loss,D&Wp,average,60,05,65.6,0.33,00_05_00_00
Crop_Loss,D&Wp,average,60,06,80.73,0.4,00_06_00_00
Crop_Loss,D&Wp,average,60,07,57.88,0.29,00_07_00_00
Crop_Loss,D&Wp,average,60,08,76.79,0.38,00_08_00_00
Crop_Loss,D&Wp,average,60,09,118.21,0.59,00_09_00_00
Crop_Loss,D&Wp,average,100,00,383.33,0.97,00_00_00_00
Crop_Loss,D&Wp,average,100,01,199.75,0.5,00_01_00_00
Crop_Loss,D&Wp,average,100,03,196.56,0.5,00_03_00_00
Crop_Loss,D&Wp,average,100,05,103.76,0.26,00_05_00_00
Crop_Loss,D&Wp,average,100,06,105.79,0.27,00_06_00_00
Crop_Loss,D&Wp,average,100,07,90.74,0.23,00_07_00_00
Crop_Loss,D&Wp,average,100,08,139.78,0.35,00_08_00_00
Crop_Loss,D&Wp,average,100,09,182.0,0.46,00_09_00_00
Crop_Loss,G,average,20,00,35.08,0.98,00_00_00_00
Crop_Loss,G,average,20,01,36.06,1.01,00_01_00_00
Crop_Loss,G,average,20,03,33.57,0.94,00_03_00_00
Crop_Loss,G,average,20,05,29.61,0.83,00_05_00_00
Crop_Loss,G,average,20,06,30.78,0.86,00_06_00_00
Crop_Loss,G,average,20,07,23.22,0.64,00_07_00_00
Crop_Loss,G,average,20,08,23.6,0.65,00_08_00_00
Crop_Loss,G,average,20,09,30.54,0.85,00_09_00_00
Crop_Loss,G,average,60,00,133.79,0.98,00_00_00_00
Crop_Loss,G,average,60,01,100.77,0.74,00_01_00_00
Crop_Loss,G,average,60,03,97.58,0.72,00_03_00_00
Crop_Loss,G,average,60,05,54.72,0.4,00_05_00_00
Crop_Loss,G,average,60,06,70.78,0.52,00_06_00_00
Crop_Loss,G,average,60,07,48.46,0.36,00_07_00_00
Crop_Loss,G,average,60,08,55.32,0.41,00_08_00_00
Crop_Loss,G,average,60,09,93.76,0.69,00_09_00_00
Crop_Loss,G,average,100,00,221.05,0.95,00_00_00_00
Crop_Loss,G,average,100,01,146.35,0.63,00_01_00_00
Crop_Loss,G,average,100,03,143.16,0.62,00_03_00_00
Crop_Loss,G,average,100,05,72.5,0.31,00_05_00_00
Crop_Loss,G,average,100,06,87.34,0.38,00_06_00_00
Crop_Loss,G,average,100,07,70.3,0.3,00_07_00_00
Crop_Loss,G,average,100,08,82.16,0.35,00_08_00_00
Crop_Loss,G,average,100,09,138.06,0.59,00_09_00_00
Crop_Loss,G&Wp,average,20,00,42.84,0.98,00_00_00_00
Crop_Loss,G&Wp,average,20,01,43.72,1.0,00_01_00_00
Crop_Loss,G&Wp,average,20,03,40.66,0.93,00_03_00_00
Crop_Loss,G&Wp,average,20,05,33.62,0.77,00_05_00_00
Crop_Loss,G&Wp,average,20,06,36.11,0.83,00_06_00_00
Crop_Loss,G&Wp,average,20,07,24.22,0.56,00_07_00_00
Crop_Loss,G&Wp,average,20,08,24.97,0.57,00_08_00_00
Crop_Loss,G&Wp,average,20,09,36.29,0.83,00_09_00_00
Crop_Loss,G&Wp,average,60,00,202.19,0.98,00_00_00_00
Crop_Loss,G&Wp,average,60,01,130.69,0.63,00_01_00_00
Crop_Loss,G&Wp,average,60,03,127.12,0.62,00_03_00_00
Crop_Loss,G&Wp,average,60,05,66.62,0.32,00_05_00_00
Crop_Loss,G&Wp,average,60,06,82.72,0.4,00_06_00_00
Crop_Loss,G&Wp,average,60,07,59.93,0.29,00_07_00_00
Crop_Loss,G&Wp,average,60,08,80.71,0.39,00_08_00_00
Crop_Loss,G&Wp,average,60,09,121.15,0.59,00_09_00_00
Crop_Loss,G&Wp,average,100,00,397.12,0.96,00_00_00_00
Crop_Loss,G&Wp,average,100,01,206.5,0.5,00_01_00_00
Crop_Loss,G&Wp,average,100,03,202.92,0.49,00_03_00_00
Crop_Loss,G&Wp,average,100,05,106.62,0.26,00_05_00_00
Crop_Loss,G&Wp,average,100,06,109.21,0.26,00_06_00_00
Crop_Loss,G&Wp,average,100,07,95.09,0.23,00_07_00_00
Crop_Loss,G&Wp,average,100,08,147.25,0.36,00_08_00_00
Crop_Loss,G&Wp,average,100,09,187.76,0.46,00_09_00_00
Crop_Loss,Wp,average,20,00,50.61,0.98,00_00_00_00
Crop_Loss,Wp,average,20,01,51.4,1.0,00_01_00_00
Crop_Loss,Wp,average,20,03,47.76,0.93,00_03_00_00
Crop_Loss,Wp,average,20,05,37.63,0.73,00_05_00_00
Crop_Loss,Wp,average,20,06,41.45,0.8,00_06_00_00
Crop_Loss,Wp,average,20,07,25.23,0.49,00_07_00_00
Crop_Loss,Wp,average,20,08,26.36,0.51,00_08_00_00
Crop_Loss,Wp,average,20,09,42.03,0.82,00_09_00_00
Crop_Loss,Wp,average,60,00,270.58,0.98,00_00_00_00
Crop_Loss,Wp,average,60,01,160.61,0.58,00_01_00_00
Crop_Loss,Wp,average,60,03,156.66,0.56,00_03_00_00
Crop_Loss,Wp,average,60,05,78.52,0.28,00_05_00_00
Crop_Loss,Wp,average,60,06,94.66,0.34,00_06_00_00
Crop_Loss,Wp,average,60,07,71.39,0.26,00_07_00_00
Crop_Loss,Wp,average,60,08,106.1,0.38,00_08_00_00
Crop_Loss,Wp,average,60,09,148.54,0.54,00_09_00_00
Crop_Loss,Wp,average,100,00,573.19,0.96,00_00_00_00
Crop_Loss,Wp,average,100,01,266.64,0.45,00_01_00_00
Crop_Loss,Wp,average,100,03,262.69,0.44,00_03_00_00
Crop_Loss,Wp,average,100,05,140.74,0.24,00_05_00_00
Crop_Loss,Wp,average,100,06,131.09,0.22,00_06_00_00
Crop_Loss,Wp,average,100,07,119.88,0.2,00_07_00_00
Crop_Loss,Wp,average,100,08,212.34,0.36,00_08_00_00
Crop_Loss,Wp,average,100,09,237.46,0.4,00_09_00_00
Farmer_Drought_Measure_Costs,D,average,20,00,0.0,0.0,00_00_00_00
Farmer_Drought_Measure_Costs,D,average,20,01,1.88,0.08,00_01_00_00
Farmer_Drought_Measure_Costs,D,average,20,03,5.13,0.21,00_03_00_00
Farmer_Drought_Measure_Costs,D,average,20,05,7.81,0.31,00_05_00_00
