objective_parameter,scenario_of_interest,robustness_metric,year,drought_shp,Value,normalized_values,pw_combi
Shipping_Economic_Loss,D,average,20,00,2244.48,1.01,00_00_00_00
Shipping_Economic_Loss,D,average,20,01,1776.3,0.8,00_00_00_01
Shipping_Economic_Loss,D,average,20,02,1938.28,0.88,00_00_00_02
Shipping_Economic_Loss,D,average,20,04,1316.0,0.59,00_00_00_04
Shipping_Economic_Loss,D,average,20,05,1316.0,0.59,00_00_00_05
Shipping_Economic_Loss,D,average,20,07,1042.8,0.47,00_00_00_07
Shipping_Economic_Loss,D,average,20,08,1042.8,0.47,00_00_00_08
Shipping_Economic_Loss,D,average,20,09,1042.8,0.47,00_00_00_09
Shipping_Economic_Loss,D,average,60,00,5828.31,1.03,00_00_00_00
Shipping_Economic_Loss,D,average,60,01,3227.28,0.57,00_00_00_01
Shipping_Economic_Loss,D,average,60,02,4796.0,0.86,00_00_00_02
Shipping_Economic_Loss,D,average,60,04,4448.35,0.79,00_00_00_04
Shipping_Economic_Loss,D,average,60,05,3456.56,0.62,00_00_00_05
Shipping_Economic_Loss,D,average,60,07,1673.38,0.3,00_00_00_07
Shipping_Economic_Loss,D,average,60,08,1673.38,0.3,00_00_00_08
Shipping_Economic_Loss,D,average,60,09,1673.38,0.3,00_00_00_09
Shipping_Economic_Loss,D,average,100,00,9501.55,1.06,00_00_00_00
Shipping_Economic_Loss,D,average,100,01,4563.54,0.51,00_00_00_01
Shipping_Economic_Loss,D,average,100,02,7394.3,0.82,00_00_00_02
Shipping_Economic_Loss,D,average,100,04,7167.83,0.8,00_00_00_04
Shipping_Economic_Loss,D,average,100,05,5010.8,0.56,00_00_00_05
Shipping_Economic_Loss,D,average,100,07,2328.33,0.26,00_00_00_07
Shipping_Economic_Loss,D,average,100,08,2328.33,0.26,00_00_00_08
Shipping_Economic_Loss,D,average,100,09,2328.33,0.26,00_00_00_09
Shipping_Economic_Loss,D&G,average,20,00,2229.54,1.01,00_00_00_00
Shipping_Economic_Loss,D&G,average,20,01,1766.36,0.8,00_00_00_01
Shipping_Economic_Loss,D&G,average,20,02,1926.26,0.88,00_00_00_02
Shipping_Economic_Loss,D&G,average,20,04,1306.57,0.59,00_00_00_04
