objective_parameter,scenario_of_interest,robustness_metric,year,flood_agr,Value,normalized_values,pw_combi
Crop_Loss,D,average,20,00,33.76,0.98,00_00_00_00
Crop_Loss,D,average,20,01,33.93,0.98,01_00_00_00
Crop_Loss,D,average,20,03,34.4,1.0,03_00_00_00
Crop_Loss,D,average,20,05,33.13,0.96,05_00_00_00
Crop_Loss,D,average,20,07,33.13,0.96,07_00_00_00
Crop_Loss,D,average,20,09,33.92,0.98,09_00_00_00
Crop_Loss,D,average,20,11,33.93,0.98,11_00_00_00
Crop_Loss,D,average,20,13,33.66,0.98,13_00_00_00
Crop_Loss,D,average,60,00,121.89,0.99,00_00_00_00
Crop_Loss,D,average,60,01,129.38,1.05,01_00_00_00
Crop_Loss,D,average,60,03,136.38,1.11,03_00_00_00
Crop_Loss,D,average,60,05,117.29,0.96,05_00_00_00
Crop_Loss,D,average,60,07,117.11,0.96,07_00_00_00
Crop_Loss,D,average,60,09,126.84,1.03,09_00_00_00
Crop_Loss,D,average,60,11,127.38,1.04,11_00_00_00
Crop_Loss,D,average,60,13,120.6,0.98,13_00_00_00
Crop_Loss,D,average,100,00,193.46,0.98,00_00_00_00
Crop_Loss,D,average,100,01,216.0,1.1,01_00_00_00
Crop_Loss,D,average,100,03,230.28,1.17,03_00_00_00
Crop_Loss,D,average,100,05,184.22,0.94,05_00_00_00
Crop_Loss,D,average,100,07,184.3,0.94,07_00_00_00
Crop_Loss,D,average,100,09,209.98,1.07,09_00_00_00
Crop_Loss,D,average,100,11,208.2,1.06,11_00_00_00
Crop_Loss,D,average,100,13,190.29,0.97,13_00_00_00
Crop_Loss,D&G,average,20,00,34.42,0.98,00_00_00_00
Crop_Loss,D&G,average,20,01,34.59,0.98,01_00_00_00
Crop_Loss,D&G,average,20,03,35.1,1.0,03_00_00_00
Crop_Loss,D&G,average,20,05,33.56,0.95,05_00_00_00
Crop_Loss,D&G,average,20,07,33.56,0.95,07_00_00_00
Crop_Loss,D&G,average,20,09,34.58,0.98,09_00_00_00
Crop_Loss,D&G,average,20,11,34.59,0.98,11_00_00_00
Crop_Loss,D&G,average,20,13,34.33,0.98,13_00_00_00
Crop_Loss,D&G,average,60,00,127.84,0.98,00_00_00_00
Crop_Loss,D&G,average,60,01,137.23,1.06,01_00_00_00
Crop_Loss,D&G,average,60,03,142.93,1.1,03_00_00_00
Crop_Loss,D&G,average,60,05,122.42,0.94,05_00_00_00
Crop_Loss,D&G,average,60,07,122.27,0.94,07_00_00_00
Crop_Loss,D&G,average,60,09,134.06,1.03,09_00_00_00
Crop_Loss,D&G,average,60,11,134.25,1.03,11_00_00_00
