objective_parameter,scenario_of_interest,robustness_metric,year,drought_shp,Value,normalized_values,pw_combi
Delayed_Ships_[#],D,average,20,0,230.0,1.0,00_00_00_00
Delayed_Ships_[#],D,average,20,1,180.0,0.8,00_00_00_01
Delayed_Ships_[#],D,average,20,2,200.0,0.87,00_00_00_02
Delayed_Ships_[#],D,average,20,4,140.0,0.59,00_00_00_04
Delayed_Ships_[#],D,average,20,5,140.0,0.59,00_00_00_05
Delayed_Ships_[#],D,average,20,7,110.0,0.47,00_00_00_07
Delayed_Ships_[#],D,average,20,8,110.0,0.47,00_00_00_08
Delayed_Ships_[#],D,average,20,9,110.0,0.47,00_00_00_09
Delayed_Ships_[#],D,average,60,0,570.0,1.0,00_00_00_00
Delayed_Ships_[#],D,average,60,1,330.0,0.58,00_00_00_01
Delayed_Ships_[#],D,average,60,2,490.0,0.86,00_00_00_02
Delayed_Ships_[#],D,average,60,4,450.0,0.8,00_00_00_04
Delayed_Ships_[#],D,average,60,5,350.0,0.61,00_00_00_05
Delayed_Ships_[#],D,average,60,7,170.0,0.29,00_00_00_07
Delayed_Ships_[#],D,average,60,8,170.0,0.29,00_00_00_08
Delayed_Ships_[#],D,average,60,9,170.0,0.29,00_00_00_09
Delayed_Ships_[#],D,average,100,0,910.0,1.0,00_00_00_00
Delayed_Ships_[#],D,average,100,1,470.0,0.52,00_00_00_01
Delayed_Ships_[#],D,average,100,2,770.0,0.85,00_00_00_02
Delayed_Ships_[#],D,average,100,4,760.0,0.84,00_00_00_04
Delayed_Ships_[#],D,average,100,5,500.0,0.55,00_00_00_05
Delayed_Ships_[#],D,average,100,7,220.0,0.24,00_00_00_07
Delayed_Ships_[#],D,average,100,8,220.0,0.24,00_00_00_08
Delayed_Ships_[#],D,average,100,9,220.0,0.24,00_00_00_09
Delayed_Ships_[#],D&G,average,20,0,230.0,1.0,00_00_00_00
Delayed_Ships_[#],D&G,average,20,1,180.0,0.8,00_00_00_01
Delayed_Ships_[#],D&G,average,20,2,200.0,0.87,00_00_00_02
Delayed_Ships_[#],D&G,average,20,4,130.0,0.59,00_00_00_04
Delayed_Ships_[#],D&G,average,20,5,130.0,0.59,00_00_00_05
Delayed_Ships_[#],D&G,average,20,7,110.0,0.47,00_00_00_07
Delayed_Ships_[#],D&G,average,20,8,110.0,0.47,00_00_00_08
Delayed_Ships_[#],D&G,average,20,9,110.0,0.47,00_00_00_09
Delayed_Ships_[#],D&G,average,60,0,560.0,1.0,00_00_00_00
Delayed_Ships_[#],D&G,average,60,1,320.0,0.58,00_00_00_01
Delayed_Ships_[#],D&G,average,60,2,480.0,0.86,00_00_00_02
Delayed_Ships_[#],D&G,average,60,4,450.0,0.81,00_00_00_04
Delayed_Ships_[#],D&G,average,60,5,370.0,0.67,00_00_00_05
Delayed_Ships_[#],D&G,average,60,7,160.0,0.29,00_00_00_07
Delayed_Ships_[#],D&G,average,60,8,160.0,0.29,00_00_00_08
Delayed_Ships_[#],D&G,average,60,9,160.0,0.29,00_00_00_09
Delayed_Ships_[#],D&G,average,100,0,870.0,1.0,00_00_00_00
Delayed_Ships_[#],D&G,average,100,1,460.0,0.52,00_00_00_01
Delayed_Ships_[#],D&G,average,100,2,750.0,0.85,00_00_00_02
Delayed_Ships_[#],D&G,average,100,4,740.0,0.85,00_00_00_04
Delayed_Ships_[#],D&G,average,100,5,550.0,0.63,00_00_00_05
Delayed_Ships_[#],D&G,average,100,7,210.0,0.24,00_00_00_07
Delayed_Ships_[#],D&G,average,100,8,210.0,0.24,00_00_00_08
Delayed_Ships_[#],D&G,average,100,9,210.0,0.24,00_00_00_09
Delayed_Ships_[#],D&G&Wp,average,20,0,230.0,1.0,00_00_00_00
Delayed_Ships_[#],D&G&Wp,average,20,1,180.0,0.79,00_00_00_01
Delayed_Ships_[#],D&G&Wp,average,20,2,200.0,0.86,00_00_00_02
Delayed_Ships_[#],D&G&Wp,average,20,4,140.0,0.58,00_00_00_04
Delayed_Ships_[#],D&G&Wp,average,20,5,140.0,0.58,00_00_00_05
Delayed_Ships_[#],D&G&Wp,average,20,7,110.0,0.46,00_00_00_07
Delayed_Ships_[#],D&G&Wp,average,20,8,110.0,0.46,00_00_00_08
