objective_parameter,scenario_of_interest,robustness_metric,year,flood_agr,Value,normalized_values,pw_combi
Crop_Productivity_Loss_[%],D,average,20,0,20.0,0.87,00_00_00_00
Crop_Productivity_Loss_[%],D,average,20,1,20.0,0.87,01_00_00_00
Crop_Productivity_Loss_[%],D,average,20,3,20.0,0.9,03_00_00_00
Crop_Productivity_Loss_[%],D,average,20,5,20.0,0.84,05_00_00_00
Crop_Productivity_Loss_[%],D,average,20,7,20.0,0.84,07_00_00_00
Crop_Productivity_Loss_[%],D,average,20,9,20.0,0.87,09_00_00_00
Crop_Productivity_Loss_[%],D,average,20,11,20.0,0.87,11_00_00_00
Crop_Productivity_Loss_[%],D,average,20,13,20.0,0.86,13_00_00_00
Crop_Productivity_Loss_[%],D,average,60,0,20.0,0.63,00_00_00_00
Crop_Productivity_Loss_[%],D,average,60,1,20.0,0.65,01_00_00_00
Crop_Productivity_Loss_[%],D,average,60,3,20.0,0.76,03_00_00_00
Crop_Productivity_Loss_[%],D,average,60,5,20.0,0.55,05_00_00_00
Crop_Productivity_Loss_[%],D,average,60,7,20.0,0.55,07_00_00_00
Crop_Productivity_Loss_[%],D,average,60,9,20.0,0.67,09_00_00_00
Crop_Productivity_Loss_[%],D,average,60,11,20.0,0.62,11_00_00_00
Crop_Productivity_Loss_[%],D,average,60,13,20.0,0.6,13_00_00_00
Crop_Productivity_Loss_[%],D,average,100,0,20.0,0.56,00_00_00_00
Crop_Productivity_Loss_[%],D,average,100,1,20.0,0.64,01_00_00_00
Crop_Productivity_Loss_[%],D,average,100,3,20.0,0.75,03_00_00_00
Crop_Productivity_Loss_[%],D,average,100,5,10.0,0.46,05_00_00_00
Crop_Productivity_Loss_[%],D,average,100,7,10.0,0.45,07_00_00_00
Crop_Productivity_Loss_[%],D,average,100,9,20.0,0.67,09_00_00_00
Crop_Productivity_Loss_[%],D,average,100,11,20.0,0.54,11_00_00_00
Crop_Productivity_Loss_[%],D,average,100,13,20.0,0.51,13_00_00_00
Crop_Productivity_Loss_[%],D&G,average,20,0,20.0,0.87,00_00_00_00
Crop_Productivity_Loss_[%],D&G,average,20,1,20.0,0.87,01_00_00_00
Crop_Productivity_Loss_[%],D&G,average,20,3,20.0,0.9,03_00_00_00
Crop_Productivity_Loss_[%],D&G,average,20,5,20.0,0.83,05_00_00_00
Crop_Productivity_Loss_[%],D&G,average,20,7,20.0,0.83,07_00_00_00
Crop_Productivity_Loss_[%],D&G,average,20,9,20.0,0.87,09_00_00_00
Crop_Productivity_Loss_[%],D&G,average,20,11,20.0,0.87,11_00_00_00
Crop_Productivity_Loss_[%],D&G,average,20,13,20.0,0.86,13_00_00_00
Crop_Productivity_Loss_[%],D&G,average,60,0,20.0,0.62,00_00_00_00
Crop_Productivity_Loss_[%],D&G,average,60,1,20.0,0.66,01_00_00_00
Crop_Productivity_Loss_[%],D&G,average,60,3,20.0,0.76,03_00_00_00
Crop_Productivity_Loss_[%],D&G,average,60,5,20.0,0.54,05_00_00_00
Crop_Productivity_Loss_[%],D&G,average,60,7,20.0,0.54,07_00_00_00
Crop_Productivity_Loss_[%],D&G,average,60,9,20.0,0.68,09_00_00_00
Crop_Productivity_Loss_[%],D&G,average,60,11,20.0,0.61,11_00_00_00
Crop_Productivity_Loss_[%],D&G,average,60,13,20.0,0.58,13_00_00_00
Crop_Productivity_Loss_[%],D&G,average,100,0,20.0,0.56,00_00_00_00
Crop_Productivity_Loss_[%],D&G,average,100,1,20.0,0.64,01_00_00_00
Crop_Productivity_Loss_[%],D&G,average,100,3,20.0,0.73,03_00_00_00
Crop_Productivity_Loss_[%],D&G,average,100,5,10.0,0.44,05_00_00_00
Crop_Productivity_Loss_[%],D&G,average,100,7,10.0,0.43,07_00_00_00
