objective_parameter,scenario_of_interest,robustness_metric,year,flood_agr,Value,normalized_values,pw_combi
Crop_Productivity_Loss_[%],D,average,20,0,20.0,0.85,00_00_00_00
Crop_Productivity_Loss_[%],D,average,20,1,20.0,0.85,01_00_00_00
Crop_Productivity_Loss_[%],D,average,20,3,20.0,0.87,03_00_00_00
Crop_Productivity_Loss_[%],D,average,20,5,20.0,0.83,05_00_00_00
Crop_Productivity_Loss_[%],D,average,20,7,20.0,0.83,07_00_00_00
Crop_Productivity_Loss_[%],D,average,20,9,20.0,0.86,09_00_00_00
Crop_Productivity_Loss_[%],D,average,20,11,20.0,0.85,11_00_00_00
Crop_Productivity_Loss_[%],D,average,20,13,20.0,0.85,13_00_00_00
Crop_Productivity_Loss_[%],D,average,60,0,20.0,0.62,00_00_00_00
Crop_Productivity_Loss_[%],D,average,60,1,20.0,0.63,01_00_00_00
Crop_Productivity_Loss_[%],D,average,60,3,20.0,0.73,03_00_00_00
Crop_Productivity_Loss_[%],D,average,60,5,20.0,0.57,05_00_00_00
Crop_Productivity_Loss_[%],D,average,60,7,20.0,0.57,07_00_00_00
Crop_Productivity_Loss_[%],D,average,60,9,20.0,0.66,09_00_00_00
Crop_Productivity_Loss_[%],D,average,60,11,20.0,0.61,11_00_00_00
Crop_Productivity_Loss_[%],D,average,60,13,20.0,0.61,13_00_00_00
Crop_Productivity_Loss_[%],D,average,100,0,20.0,0.55,00_00_00_00
Crop_Productivity_Loss_[%],D,average,100,1,20.0,0.58,01_00_00_00
Crop_Productivity_Loss_[%],D,average,100,3,20.0,0.71,03_00_00_00
Crop_Productivity_Loss_[%],D,average,100,5,10.0,0.49,05_00_00_00
Crop_Productivity_Loss_[%],D,average,100,7,10.0,0.48,07_00_00_00
Crop_Productivity_Loss_[%],D,average,100,9,20.0,0.63,09_00_00_00
Crop_Productivity_Loss_[%],D,average,100,11,20.0,0.54,11_00_00_00
Crop_Productivity_Loss_[%],D,average,100,13,20.0,0.53,13_00_00_00
Crop_Productivity_Loss_[%],D&G,average,20,0,20.0,0.85,00_00_00_00
Crop_Productivity_Loss_[%],D&G,average,20,1,20.0,0.85,01_00_00_00
Crop_Productivity_Loss_[%],D&G,average,20,3,20.0,0.87,03_00_00_00
Crop_Productivity_Loss_[%],D&G,average,20,5,20.0,0.82,05_00_00_00
Crop_Productivity_Loss_[%],D&G,average,20,7,20.0,0.82,07_00_00_00
Crop_Productivity_Loss_[%],D&G,average,20,9,20.0,0.85,09_00_00_00
Crop_Productivity_Loss_[%],D&G,average,20,11,20.0,0.85,11_00_00_00
Crop_Productivity_Loss_[%],D&G,average,20,13,20.0,0.84,13_00_00_00
Crop_Productivity_Loss_[%],D&G,average,60,0,20.0,0.61,00_00_00_00
Crop_Productivity_Loss_[%],D&G,average,60,1,20.0,0.63,01_00_00_00
Crop_Productivity_Loss_[%],D&G,average,60,3,20.0,0.71,03_00_00_00
Crop_Productivity_Loss_[%],D&G,average,60,5,20.0,0.56,05_00_00_00
Crop_Productivity_Loss_[%],D&G,average,60,7,20.0,0.56,07_00_00_00
Crop_Productivity_Loss_[%],D&G,average,60,9,20.0,0.65,09_00_00_00
Crop_Productivity_Loss_[%],D&G,average,60,11,20.0,0.61,11_00_00_00
Crop_Productivity_Loss_[%],D&G,average,60,13,20.0,0.59,13_00_00_00
Crop_Productivity_Loss_[%],D&G,average,100,0,20.0,0.53,00_00_00_00
Crop_Productivity_Loss_[%],D&G,average,100,1,20.0,0.57,01_00_00_00
Crop_Productivity_Loss_[%],D&G,average,100,3,20.0,0.68,03_00_00_00
Crop_Productivity_Loss_[%],D&G,average,100,5,20.0,0.47,05_00_00_00
Crop_Productivity_Loss_[%],D&G,average,100,7,20.0,0.46,07_00_00_00
