objective_parameter,scenario_of_interest,robustness_metric,year,flood_agr,Value,normalized_values,pw_combi
Crop_Productivity_Loss_[%],D,average,20,0,20.0,1.0,00_00_00_00
Crop_Productivity_Loss_[%],D,average,20,1,20.0,1.01,01_00_00_00
Crop_Productivity_Loss_[%],D,average,20,3,20.0,1.03,03_00_00_00
Crop_Productivity_Loss_[%],D,average,20,5,20.0,0.97,05_00_00_00
Crop_Productivity_Loss_[%],D,average,20,7,20.0,0.97,07_00_00_00
Crop_Productivity_Loss_[%],D,average,20,9,20.0,1.0,09_00_00_00
Crop_Productivity_Loss_[%],D,average,20,11,20.0,1.01,11_00_00_00
Crop_Productivity_Loss_[%],D,average,20,13,20.0,1.0,13_00_00_00
Crop_Productivity_Loss_[%],D,average,60,0,30.0,1.0,00_00_00_00
Crop_Productivity_Loss_[%],D,average,60,1,30.0,1.08,01_00_00_00
Crop_Productivity_Loss_[%],D,average,60,3,30.0,1.15,03_00_00_00
Crop_Productivity_Loss_[%],D,average,60,5,20.0,0.94,05_00_00_00
Crop_Productivity_Loss_[%],D,average,60,7,20.0,0.94,07_00_00_00
Crop_Productivity_Loss_[%],D,average,60,9,30.0,1.04,09_00_00_00
Crop_Productivity_Loss_[%],D,average,60,11,30.0,1.05,11_00_00_00
Crop_Productivity_Loss_[%],D,average,60,13,30.0,0.98,13_00_00_00
Crop_Productivity_Loss_[%],D,average,100,0,30.0,1.0,00_00_00_00
Crop_Productivity_Loss_[%],D,average,100,1,30.0,1.18,01_00_00_00
Crop_Productivity_Loss_[%],D,average,100,3,30.0,1.24,03_00_00_00
Crop_Productivity_Loss_[%],D,average,100,5,20.0,0.91,05_00_00_00
Crop_Productivity_Loss_[%],D,average,100,7,20.0,0.91,07_00_00_00
Crop_Productivity_Loss_[%],D,average,100,9,30.0,1.12,09_00_00_00
Crop_Productivity_Loss_[%],D,average,100,11,30.0,1.08,11_00_00_00
Crop_Productivity_Loss_[%],D,average,100,13,20.0,0.95,13_00_00_00
Crop_Productivity_Loss_[%],D&G,average,20,0,20.0,1.0,00_00_00_00
Crop_Productivity_Loss_[%],D&G,average,20,1,20.0,1.01,01_00_00_00
Crop_Productivity_Loss_[%],D&G,average,20,3,20.0,1.03,03_00_00_00
Crop_Productivity_Loss_[%],D&G,average,20,5,20.0,0.96,05_00_00_00
Crop_Productivity_Loss_[%],D&G,average,20,7,20.0,0.96,07_00_00_00
Crop_Productivity_Loss_[%],D&G,average,20,9,20.0,1.0,09_00_00_00
Crop_Productivity_Loss_[%],D&G,average,20,11,20.0,1.01,11_00_00_00
Crop_Productivity_Loss_[%],D&G,average,20,13,20.0,1.0,13_00_00_00
Crop_Productivity_Loss_[%],D&G,average,60,0,30.0,1.0,00_00_00_00
Crop_Productivity_Loss_[%],D&G,average,60,1,30.0,1.1,01_00_00_00
Crop_Productivity_Loss_[%],D&G,average,60,3,30.0,1.15,03_00_00_00
Crop_Productivity_Loss_[%],D&G,average,60,5,30.0,0.93,05_00_00_00
Crop_Productivity_Loss_[%],D&G,average,60,7,30.0,0.93,07_00_00_00
Crop_Productivity_Loss_[%],D&G,average,60,9,30.0,1.06,09_00_00_00
Crop_Productivity_Loss_[%],D&G,average,60,11,30.0,1.05,11_00_00_00
Crop_Productivity_Loss_[%],D&G,average,60,13,30.0,0.97,13_00_00_00
Crop_Productivity_Loss_[%],D&G,average,100,0,30.0,1.0,00_00_00_00
