objective_parameter,scenario_of_interest,robustness_metric,year,flood_agr,Value,normalized_values,pw_combi
Crop_Productivity_Loss_[%],D,average,20,0,20.0,0.98,00_00_00_00
Crop_Productivity_Loss_[%],D,average,20,1,20.0,0.98,01_00_00_00
Crop_Productivity_Loss_[%],D,average,20,3,20.0,1.0,03_00_00_00
Crop_Productivity_Loss_[%],D,average,20,5,20.0,0.96,05_00_00_00
Crop_Productivity_Loss_[%],D,average,20,7,20.0,0.96,07_00_00_00
Crop_Productivity_Loss_[%],D,average,20,9,20.0,0.98,09_00_00_00
Crop_Productivity_Loss_[%],D,average,20,11,20.0,0.98,11_00_00_00
Crop_Productivity_Loss_[%],D,average,20,13,20.0,0.98,13_00_00_00
Crop_Productivity_Loss_[%],D,average,60,0,30.0,0.99,00_00_00_00
Crop_Productivity_Loss_[%],D,average,60,1,30.0,1.05,01_00_00_00
Crop_Productivity_Loss_[%],D,average,60,3,30.0,1.11,03_00_00_00
Crop_Productivity_Loss_[%],D,average,60,5,30.0,0.96,05_00_00_00
Crop_Productivity_Loss_[%],D,average,60,7,30.0,0.96,07_00_00_00
Crop_Productivity_Loss_[%],D,average,60,9,30.0,1.03,09_00_00_00
Crop_Productivity_Loss_[%],D,average,60,11,30.0,1.04,11_00_00_00
Crop_Productivity_Loss_[%],D,average,60,13,30.0,0.98,13_00_00_00
Crop_Productivity_Loss_[%],D,average,100,0,20.0,0.98,00_00_00_00
Crop_Productivity_Loss_[%],D,average,100,1,30.0,1.1,01_00_00_00
Crop_Productivity_Loss_[%],D,average,100,3,30.0,1.17,03_00_00_00
Crop_Productivity_Loss_[%],D,average,100,5,20.0,0.94,05_00_00_00
Crop_Productivity_Loss_[%],D,average,100,7,20.0,0.94,07_00_00_00
Crop_Productivity_Loss_[%],D,average,100,9,30.0,1.07,09_00_00_00
Crop_Productivity_Loss_[%],D,average,100,11,30.0,1.06,11_00_00_00
Crop_Productivity_Loss_[%],D,average,100,13,20.0,0.97,13_00_00_00
Crop_Productivity_Loss_[%],D&G,average,20,0,20.0,0.98,00_00_00_00
Crop_Productivity_Loss_[%],D&G,average,20,1,20.0,0.98,01_00_00_00
Crop_Productivity_Loss_[%],D&G,average,20,3,20.0,1.0,03_00_00_00
Crop_Productivity_Loss_[%],D&G,average,20,5,20.0,0.95,05_00_00_00
Crop_Productivity_Loss_[%],D&G,average,20,7,20.0,0.95,07_00_00_00
Crop_Productivity_Loss_[%],D&G,average,20,9,20.0,0.98,09_00_00_00
Crop_Productivity_Loss_[%],D&G,average,20,11,20.0,0.98,11_00_00_00
Crop_Productivity_Loss_[%],D&G,average,20,13,20.0,0.98,13_00_00_00
Crop_Productivity_Loss_[%],D&G,average,60,0,30.0,0.98,00_00_00_00
Crop_Productivity_Loss_[%],D&G,average,60,1,30.0,1.06,01_00_00_00
Crop_Productivity_Loss_[%],D&G,average,60,3,30.0,1.1,03_00_00_00
Crop_Productivity_Loss_[%],D&G,average,60,5,30.0,0.94,05_00_00_00
Crop_Productivity_Loss_[%],D&G,average,60,7,30.0,0.94,07_00_00_00
Crop_Productivity_Loss_[%],D&G,average,60,9,30.0,1.03,09_00_00_00
Crop_Productivity_Loss_[%],D&G,average,60,11,30.0,1.03,11_00_00_00
Crop_Productivity_Loss_[%],D&G,average,60,13,30.0,0.97,13_00_00_00
Crop_Productivity_Loss_[%],D&G,average,100,0,30.0,0.97,00_00_00_00
Crop_Productivity_Loss_[%],D&G,average,100,1,30.0,1.09,01_00_00_00
Crop_Productivity_Loss_[%],D&G,average,100,3,30.0,1.14,03_00_00_00
Crop_Productivity_Loss_[%],D&G,average,100,5,30.0,0.92,05_00_00_00
Crop_Productivity_Loss_[%],D&G,average,100,7,30.0,0.92,07_00_00_00
Crop_Productivity_Loss_[%],D&G,average,100,9,30.0,1.05,09_00_00_00
Crop_Productivity_Loss_[%],D&G,average,100,11,30.0,1.05,11_00_00_00
Crop_Productivity_Loss_[%],D&G,average,100,13,30.0,0.94,13_00_00_00
Crop_Productivity_Loss_[%],D&G&Wp,average,20,0,30.0,0.98,00_00_00_00
Crop_Productivity_Loss_[%],D&G&Wp,average,20,1,30.0,0.99,01_00_00_00
Crop_Productivity_Loss_[%],D&G&Wp,average,20,3,30.0,1.0,03_00_00_00
Crop_Productivity_Loss_[%],D&G&Wp,average,20,5,30.0,0.96,05_00_00_00
Crop_Productivity_Loss_[%],D&G&Wp,average,20,7,30.0,0.96,07_00_00_00
Crop_Productivity_Loss_[%],D&G&Wp,average,20,9,30.0,0.99,09_00_00_00
Crop_Productivity_Loss_[%],D&G&Wp,average,20,11,30.0,0.99,11_00_00_00
Crop_Productivity_Loss_[%],D&G&Wp,average,20,13,30.0,0.98,13_00_00_00
Crop_Productivity_Loss_[%],D&G&Wp,average,60,0,40.0,0.98,00_00_00_00
Crop_Productivity_Loss_[%],D&G&Wp,average,60,1,40.0,1.05,01_00_00_00
Crop_Productivity_Loss_[%],D&G&Wp,average,60,3,40.0,1.08,03_00_00_00
Crop_Productivity_Loss_[%],D&G&Wp,average,60,5,30.0,0.95,05_00_00_00
