objective_parameter,pw_combi,scenario_of_interest,robustness_metric,year,Value,normalized_values,flood_agr,drought_agr,flood_urb,drought_shp
Crop_Productivity_Loss_[%],00_00_00_00,D,average,20,20.0,1.0,0,0,0,0
Crop_Productivity_Loss_[%],00_00_00_00,D,average,60,30.0,1.0,0,0,0,0
Crop_Productivity_Loss_[%],00_00_00_00,D,average,100,30.0,1.0,0,0,0,0
Crop_Productivity_Loss_[%],00_00_00_00,D&G,average,20,20.0,1.0,0,0,0,0
Crop_Productivity_Loss_[%],00_00_00_00,D&G,average,60,30.0,1.0,0,0,0,0
Crop_Productivity_Loss_[%],00_00_00_00,D&G,average,100,30.0,1.0,0,0,0,0
Crop_Productivity_Loss_[%],00_00_00_00,D&G&Wp,average,20,30.0,1.0,0,0,0,0
Crop_Productivity_Loss_[%],00_00_00_00,D&G&Wp,average,60,40.0,1.0,0,0,0,0
Crop_Productivity_Loss_[%],00_00_00_00,D&G&Wp,average,100,40.0,1.0,0,0,0,0
Crop_Productivity_Loss_[%],00_00_00_00,D&Wp,average,20,30.0,1.0,0,0,0,0
Crop_Productivity_Loss_[%],00_00_00_00,D&Wp,average,60,40.0,1.0,0,0,0,0
Crop_Productivity_Loss_[%],00_00_00_00,D&Wp,average,100,50.0,1.0,0,0,0,0
Crop_Productivity_Loss_[%],00_00_00_00,G,average,20,20.0,1.0,0,0,0,0
Crop_Productivity_Loss_[%],00_00_00_00,G,average,60,30.0,1.0,0,0,0,0
Crop_Productivity_Loss_[%],00_00_00_00,G,average,100,30.0,1.0,0,0,0,0
Crop_Productivity_Loss_[%],00_00_00_00,G&Wp,average,20,30.0,1.0,0,0,0,0
Crop_Productivity_Loss_[%],00_00_00_00,G&Wp,average,60,40.0,1.0,0,0,0,0
Crop_Productivity_Loss_[%],00_00_00_00,G&Wp,average,100,50.0,1.0,0,0,0,0
Crop_Productivity_Loss_[%],00_00_00_00,Wp,average,20,30.0,1.0,0,0,0,0
Crop_Productivity_Loss_[%],00_00_00_00,Wp,average,60,50.0,1.0,0,0,0,0
Crop_Productivity_Loss_[%],00_00_00_00,Wp,average,100,70.0,1.0,0,0,0,0
Crop_Productivity_Loss_[%],01_00_00_00,D,average,20,20.0,1.01,1,0,0,0
Crop_Productivity_Loss_[%],01_00_00_00,D,average,60,30.0,1.08,1,0,0,0
Crop_Productivity_Loss_[%],01_00_00_00,D,average,100,30.0,1.18,1,0,0,0
Crop_Productivity_Loss_[%],01_00_00_00,D&G,average,20,20.0,1.01,1,0,0,0
Crop_Productivity_Loss_[%],01_00_00_00,D&G,average,60,30.0,1.1,1,0,0,0
Crop_Productivity_Loss_[%],01_00_00_00,D&G,average,100,30.0,1.18,1,0,0,0
Crop_Productivity_Loss_[%],01_00_00_00,D&G&Wp,average,20,30.0,1.01,1,0,0,0
Crop_Productivity_Loss_[%],01_00_00_00,D&G&Wp,average,60,40.0,1.09,1,0,0,0
Crop_Productivity_Loss_[%],01_00_00_00,D&G&Wp,average,100,40.0,1.12,1,0,0,0
Crop_Productivity_Loss_[%],01_00_00_00,D&Wp,average,20,30.0,1.01,1,0,0,0
