objective_parameter,scenario_of_interest,robustness_metric,year,drought_shp,Value,normalized_values,pw_combi
Shipping_Economic_Loss,D,average,20,00,2244.63,1.01,00_00_00_00
Shipping_Economic_Loss,D,average,20,01,1776.39,0.8,00_00_00_01
Shipping_Economic_Loss,D,average,20,02,1938.4,0.88,00_00_00_02
Shipping_Economic_Loss,D,average,20,04,1316.12,0.59,00_00_00_04
Shipping_Economic_Loss,D,average,20,05,1316.12,0.59,00_00_00_05
Shipping_Economic_Loss,D,average,20,07,1042.86,0.47,00_00_00_07
Shipping_Economic_Loss,D,average,20,08,1042.86,0.47,00_00_00_08
Shipping_Economic_Loss,D,average,20,09,1042.86,0.47,00_00_00_09
Shipping_Economic_Loss,D,average,60,00,5829.65,1.03,00_00_00_00
Shipping_Economic_Loss,D,average,60,01,3229.3,0.58,00_00_00_01
Shipping_Economic_Loss,D,average,60,02,4797.35,0.86,00_00_00_02
Shipping_Economic_Loss,D,average,60,04,4436.35,0.79,00_00_00_04
Shipping_Economic_Loss,D,average,60,05,3390.19,0.6,00_00_00_05
Shipping_Economic_Loss,D,average,60,07,1673.75,0.3,00_00_00_07
Shipping_Economic_Loss,D,average,60,08,1673.75,0.3,00_00_00_08
Shipping_Economic_Loss,D,average,60,09,1673.75,0.3,00_00_00_09
Shipping_Economic_Loss,D,average,100,00,9503.66,1.05,00_00_00_00
Shipping_Economic_Loss,D,average,100,01,4567.58,0.51,00_00_00_01
Shipping_Economic_Loss,D,average,100,02,7397.41,0.82,00_00_00_02
Shipping_Economic_Loss,D,average,100,04,7140.96,0.79,00_00_00_04
Shipping_Economic_Loss,D,average,100,05,4857.49,0.54,00_00_00_05
Shipping_Economic_Loss,D,average,100,07,2328.92,0.26,00_00_00_07
Shipping_Economic_Loss,D,average,100,08,2328.92,0.26,00_00_00_08
Shipping_Economic_Loss,D,average,100,09,2328.92,0.26,00_00_00_09
Shipping_Economic_Loss,D&G,average,20,00,2229.69,1.01,00_00_00_00
Shipping_Economic_Loss,D&G,average,20,01,1766.46,0.8,00_00_00_01
Shipping_Economic_Loss,D&G,average,20,02,1926.37,0.88,00_00_00_02
Shipping_Economic_Loss,D&G,average,20,04,1306.68,0.59,00_00_00_04
Shipping_Economic_Loss,D&G,average,20,05,1306.68,0.59,00_00_00_05
Shipping_Economic_Loss,D&G,average,20,07,1037.37,0.47,00_00_00_07
Shipping_Economic_Loss,D&G,average,20,08,1037.37,0.47,00_00_00_08
Shipping_Economic_Loss,D&G,average,20,09,1037.37,0.47,00_00_00_09
Shipping_Economic_Loss,D&G,average,60,00,5708.34,1.04,00_00_00_00
Shipping_Economic_Loss,D&G,average,60,01,3181.14,0.58,00_00_00_01
Shipping_Economic_Loss,D&G,average,60,02,4705.48,0.86,00_00_00_02
Shipping_Economic_Loss,D&G,average,60,04,4408.58,0.8,00_00_00_04
Shipping_Economic_Loss,D&G,average,60,05,3636.68,0.66,00_00_00_05
Shipping_Economic_Loss,D&G,average,60,07,1637.92,0.3,00_00_00_07
Shipping_Economic_Loss,D&G,average,60,08,1637.92,0.3,00_00_00_08
Shipping_Economic_Loss,D&G,average,60,09,1637.92,0.3,00_00_00_09
