objective_parameter,scenario_of_interest,robustness_metric,year,drought_shp,Value,normalized_values,pw_combi
Shipping_Economic_Loss,D,average,20,00,2245.42,1.01,00_00_00_00
Shipping_Economic_Loss,D,average,20,01,1777.02,0.8,00_00_00_01
Shipping_Economic_Loss,D,average,20,02,1939.07,0.88,00_00_00_02
Shipping_Economic_Loss,D,average,20,04,1316.82,0.59,00_00_00_04
Shipping_Economic_Loss,D,average,20,05,1316.82,0.59,00_00_00_05
Shipping_Economic_Loss,D,average,20,07,1043.15,0.47,00_00_00_07
Shipping_Economic_Loss,D,average,20,08,1043.15,0.47,00_00_00_08
Shipping_Economic_Loss,D,average,20,09,1043.15,0.47,00_00_00_09
Shipping_Economic_Loss,D,average,60,00,5830.04,1.03,00_00_00_00
Shipping_Economic_Loss,D,average,60,01,3225.02,0.57,00_00_00_01
Shipping_Economic_Loss,D,average,60,02,4793.65,0.85,00_00_00_02
Shipping_Economic_Loss,D,average,60,04,4434.26,0.79,00_00_00_04
Shipping_Economic_Loss,D,average,60,05,3390.81,0.6,00_00_00_05
Shipping_Economic_Loss,D,average,60,07,1673.92,0.3,00_00_00_07
Shipping_Economic_Loss,D,average,60,08,1673.92,0.3,00_00_00_08
Shipping_Economic_Loss,D,average,60,09,1673.92,0.3,00_00_00_09
Shipping_Economic_Loss,D,average,100,00,9481.48,1.05,00_00_00_00
Shipping_Economic_Loss,D,average,100,01,4563.26,0.51,00_00_00_01
Shipping_Economic_Loss,D,average,100,02,7384.49,0.82,00_00_00_02
Shipping_Economic_Loss,D,average,100,04,7138.3,0.79,00_00_00_04
Shipping_Economic_Loss,D,average,100,05,4856.6,0.54,00_00_00_05
Shipping_Economic_Loss,D,average,100,07,2321.85,0.26,00_00_00_07
Shipping_Economic_Loss,D,average,100,08,2321.85,0.26,00_00_00_08
Shipping_Economic_Loss,D,average,100,09,2321.85,0.26,00_00_00_09
Shipping_Economic_Loss,D&G,average,20,00,2230.49,1.01,00_00_00_00
Shipping_Economic_Loss,D&G,average,20,01,1767.08,0.8,00_00_00_01
Shipping_Economic_Loss,D&G,average,20,02,1927.05,0.88,00_00_00_02
Shipping_Economic_Loss,D&G,average,20,04,1307.38,0.59,00_00_00_04
Shipping_Economic_Loss,D&G,average,20,05,1307.38,0.59,00_00_00_05
Shipping_Economic_Loss,D&G,average,20,07,1037.65,0.47,00_00_00_07
Shipping_Economic_Loss,D&G,average,20,08,1037.65,0.47,00_00_00_08
Shipping_Economic_Loss,D&G,average,20,09,1037.65,0.47,00_00_00_09
Shipping_Economic_Loss,D&G,average,60,00,5707.37,1.04,00_00_00_00
Shipping_Economic_Loss,D&G,average,60,01,3175.72,0.58,00_00_00_01
Shipping_Economic_Loss,D&G,average,60,02,4700.93,0.85,00_00_00_02
Shipping_Economic_Loss,D&G,average,60,04,4407.48,0.8,00_00_00_04
Shipping_Economic_Loss,D&G,average,60,05,3636.18,0.66,00_00_00_05
