objective_parameter,scenario_of_interest,robustness_metric,year,drought_shp,Value,normalized_values,pw_combi
Shipping_Economic_Loss,D,average,20,00,2222.67,1.0,00_00_00_00
Shipping_Economic_Loss,D,average,20,01,1778.47,0.8,00_00_00_01
Shipping_Economic_Loss,D,average,20,02,1927.01,0.87,00_00_00_02
Shipping_Economic_Loss,D,average,20,04,1306.19,0.59,00_00_00_04
Shipping_Economic_Loss,D,average,20,05,1306.19,0.59,00_00_00_05
Shipping_Economic_Loss,D,average,20,07,1036.06,0.47,00_00_00_07
Shipping_Economic_Loss,D,average,20,08,1036.06,0.47,00_00_00_08
Shipping_Economic_Loss,D,average,20,09,1036.06,0.47,00_00_00_09
Shipping_Economic_Loss,D,average,60,00,5633.81,1.0,00_00_00_00
Shipping_Economic_Loss,D,average,60,01,3252.57,0.58,00_00_00_01
Shipping_Economic_Loss,D,average,60,02,4826.48,0.86,00_00_00_02
Shipping_Economic_Loss,D,average,60,04,4482.34,0.8,00_00_00_04
Shipping_Economic_Loss,D,average,60,05,3413.3,0.61,00_00_00_05
Shipping_Economic_Loss,D,average,60,07,1609.95,0.29,00_00_00_07
Shipping_Economic_Loss,D,average,60,08,1609.95,0.29,00_00_00_08
Shipping_Economic_Loss,D,average,60,09,1609.95,0.29,00_00_00_09
Shipping_Economic_Loss,D,average,100,00,9008.08,1.0,00_00_00_00
Shipping_Economic_Loss,D,average,100,01,4697.41,0.52,00_00_00_01
Shipping_Economic_Loss,D,average,100,02,7694.61,0.85,00_00_00_02
Shipping_Economic_Loss,D,average,100,04,7528.46,0.84,00_00_00_04
Shipping_Economic_Loss,D,average,100,05,4970.8,0.55,00_00_00_05
Shipping_Economic_Loss,D,average,100,07,2167.41,0.24,00_00_00_07
Shipping_Economic_Loss,D,average,100,08,2167.41,0.24,00_00_00_08
Shipping_Economic_Loss,D,average,100,09,2167.41,0.24,00_00_00_09
Shipping_Economic_Loss,D&G,average,20,00,2207.88,1.0,00_00_00_00
Shipping_Economic_Loss,D&G,average,20,01,1768.47,0.8,00_00_00_01
Shipping_Economic_Loss,D&G,average,20,02,1915.05,0.87,00_00_00_02
Shipping_Economic_Loss,D&G,average,20,04,1296.84,0.59,00_00_00_04
Shipping_Economic_Loss,D&G,average,20,05,1296.84,0.59,00_00_00_05
Shipping_Economic_Loss,D&G,average,20,07,1030.64,0.47,00_00_00_07
Shipping_Economic_Loss,D&G,average,20,08,1030.64,0.47,00_00_00_08
Shipping_Economic_Loss,D&G,average,20,09,1030.64,0.47,00_00_00_09
Shipping_Economic_Loss,D&G,average,60,00,5514.99,1.0,00_00_00_00
Shipping_Economic_Loss,D&G,average,60,01,3197.46,0.58,00_00_00_01
Shipping_Economic_Loss,D&G,average,60,02,4726.09,0.86,00_00_00_02
Shipping_Economic_Loss,D&G,average,60,04,4438.28,0.81,00_00_00_04
Shipping_Economic_Loss,D&G,average,60,05,3682.0,0.67,00_00_00_05
Shipping_Economic_Loss,D&G,average,60,07,1575.61,0.29,00_00_00_07
Shipping_Economic_Loss,D&G,average,60,08,1575.61,0.29,00_00_00_08
Shipping_Economic_Loss,D&G,average,60,09,1575.61,0.29,00_00_00_09
Shipping_Economic_Loss,D&G,average,100,00,8685.81,1.0,00_00_00_00
Shipping_Economic_Loss,D&G,average,100,01,4546.18,0.52,00_00_00_01
Shipping_Economic_Loss,D&G,average,100,02,7421.29,0.85,00_00_00_02
Shipping_Economic_Loss,D&G,average,100,04,7353.39,0.85,00_00_00_04
Shipping_Economic_Loss,D&G,average,100,05,5431.39,0.63,00_00_00_05
Shipping_Economic_Loss,D&G,average,100,07,2080.07,0.24,00_00_00_07
Shipping_Economic_Loss,D&G,average,100,08,2080.07,0.24,00_00_00_08
Shipping_Economic_Loss,D&G,average,100,09,2080.07,0.24,00_00_00_09
Shipping_Economic_Loss,D&G&Wp,average,20,00,2263.12,1.0,00_00_00_00
Shipping_Economic_Loss,D&G&Wp,average,20,01,1791.53,0.79,00_00_00_01
Shipping_Economic_Loss,D&G&Wp,average,20,02,1954.46,0.86,00_00_00_02
Shipping_Economic_Loss,D&G&Wp,average,20,04,1319.34,0.58,00_00_00_04
Shipping_Economic_Loss,D&G&Wp,average,20,05,1319.34,0.58,00_00_00_05
Shipping_Economic_Loss,D&G&Wp,average,20,07,1042.08,0.46,00_00_00_07
Shipping_Economic_Loss,D&G&Wp,average,20,08,1042.08,0.46,00_00_00_08
Shipping_Economic_Loss,D&G&Wp,average,20,09,1042.08,0.46,00_00_00_09
Shipping_Economic_Loss,D&G&Wp,average,60,00,6053.8,1.0,00_00_00_00
Shipping_Economic_Loss,D&G&Wp,average,60,01,3147.36,0.52,00_00_00_01
Shipping_Economic_Loss,D&G&Wp,average,60,02,4622.3,0.76,00_00_00_02
Shipping_Economic_Loss,D&G&Wp,average,60,04,4301.07,0.71,00_00_00_04
Shipping_Economic_Loss,D&G&Wp,average,60,05,3533.35,0.59,00_00_00_05
Shipping_Economic_Loss,D&G&Wp,average,60,07,1765.73,0.29,00_00_00_07
Shipping_Economic_Loss,D&G&Wp,average,60,08,1765.73,0.29,00_00_00_08
Shipping_Economic_Loss,D&G&Wp,average,60,09,1765.73,0.29,00_00_00_09
Shipping_Economic_Loss,D&G&Wp,average,100,00,10399.54,1.0,00_00_00_00
