objective_parameter,scenario_of_interest,robustness_metric,year,drought_shp,Value,normalized_values,pw_combi
Shipping_Economic_Loss,D,average,20,00,2245.28,1.01,00_00_00_00
Shipping_Economic_Loss,D,average,20,01,1776.93,0.8,00_00_00_01
Shipping_Economic_Loss,D,average,20,02,1938.96,0.88,00_00_00_02
Shipping_Economic_Loss,D,average,20,04,1316.71,0.59,00_00_00_04
Shipping_Economic_Loss,D,average,20,05,1316.71,0.59,00_00_00_05
Shipping_Economic_Loss,D,average,20,07,1043.09,0.47,00_00_00_07
Shipping_Economic_Loss,D,average,20,08,1043.09,0.47,00_00_00_08
Shipping_Economic_Loss,D,average,20,09,1043.09,0.47,00_00_00_09
Shipping_Economic_Loss,D,average,60,00,5828.7,1.03,00_00_00_00
Shipping_Economic_Loss,D,average,60,01,3223.0,0.57,00_00_00_01
Shipping_Economic_Loss,D,average,60,02,4792.3,0.85,00_00_00_02
Shipping_Economic_Loss,D,average,60,04,4446.39,0.79,00_00_00_04
Shipping_Economic_Loss,D,average,60,05,3457.01,0.62,00_00_00_05
Shipping_Economic_Loss,D,average,60,07,1673.55,0.3,00_00_00_07
Shipping_Economic_Loss,D,average,60,08,1673.55,0.3,00_00_00_08
Shipping_Economic_Loss,D,average,60,09,1673.55,0.3,00_00_00_09
Shipping_Economic_Loss,D,average,100,00,9479.06,1.05,00_00_00_00
Shipping_Economic_Loss,D,average,100,01,4559.14,0.51,00_00_00_01
Shipping_Economic_Loss,D,average,100,02,7381.28,0.82,00_00_00_02
Shipping_Economic_Loss,D,average,100,04,7164.39,0.8,00_00_00_04
Shipping_Economic_Loss,D,average,100,05,5007.86,0.56,00_00_00_05
Shipping_Economic_Loss,D,average,100,07,2321.17,0.26,00_00_00_07
Shipping_Economic_Loss,D,average,100,08,2321.17,0.26,00_00_00_08
Shipping_Economic_Loss,D,average,100,09,2321.17,0.26,00_00_00_09
Shipping_Economic_Loss,D&G,average,20,00,2230.34,1.01,00_00_00_00
Shipping_Economic_Loss,D&G,average,20,01,1766.98,0.8,00_00_00_01
Shipping_Economic_Loss,D&G,average,20,02,1926.93,0.88,00_00_00_02
Shipping_Economic_Loss,D&G,average,20,04,1307.27,0.59,00_00_00_04
Shipping_Economic_Loss,D&G,average,20,05,1307.27,0.59,00_00_00_05
Shipping_Economic_Loss,D&G,average,20,07,1037.6,0.47,00_00_00_07
Shipping_Economic_Loss,D&G,average,20,08,1037.6,0.47,00_00_00_08
Shipping_Economic_Loss,D&G,average,20,09,1037.6,0.47,00_00_00_09
Shipping_Economic_Loss,D&G,average,60,00,5706.2,1.04,00_00_00_00
Shipping_Economic_Loss,D&G,average,60,01,3174.63,0.58,00_00_00_01
Shipping_Economic_Loss,D&G,average,60,02,4699.86,0.85,00_00_00_02
