objective_parameter,scenario_of_interest,robustness_metric,year,drought_shp,Value,normalized_values,pw_combi
Shipping_Economic_Loss,D,average,20,00,2222.52,1.0,00_00_00_00
Shipping_Economic_Loss,D,average,20,01,1778.37,0.8,00_00_00_01
Shipping_Economic_Loss,D,average,20,02,1926.9,0.87,00_00_00_02
Shipping_Economic_Loss,D,average,20,04,1306.08,0.59,00_00_00_04
Shipping_Economic_Loss,D,average,20,05,1306.08,0.59,00_00_00_05
Shipping_Economic_Loss,D,average,20,07,1036.01,0.47,00_00_00_07
Shipping_Economic_Loss,D,average,20,08,1036.01,0.47,00_00_00_08
Shipping_Economic_Loss,D,average,20,09,1036.01,0.47,00_00_00_09
Shipping_Economic_Loss,D,average,60,00,5632.03,1.0,00_00_00_00
Shipping_Economic_Loss,D,average,60,01,3251.66,0.58,00_00_00_01
Shipping_Economic_Loss,D,average,60,02,4824.98,0.86,00_00_00_02
Shipping_Economic_Loss,D,average,60,04,4493.36,0.8,00_00_00_04
Shipping_Economic_Loss,D,average,60,05,3482.72,0.62,00_00_00_05
Shipping_Economic_Loss,D,average,60,07,1609.45,0.29,00_00_00_07
Shipping_Economic_Loss,D,average,60,08,1609.45,0.29,00_00_00_08
Shipping_Economic_Loss,D,average,60,09,1609.45,0.29,00_00_00_09
Shipping_Economic_Loss,D,average,100,00,9004.04,1.0,00_00_00_00
Shipping_Economic_Loss,D,average,100,01,4695.4,0.52,00_00_00_01
Shipping_Economic_Loss,D,average,100,02,7691.2,0.85,00_00_00_02
Shipping_Economic_Loss,D,average,100,04,7556.52,0.84,00_00_00_04
Shipping_Economic_Loss,D,average,100,05,5144.8,0.57,00_00_00_05
Shipping_Economic_Loss,D,average,100,07,2166.27,0.24,00_00_00_07
Shipping_Economic_Loss,D,average,100,08,2166.27,0.24,00_00_00_08
Shipping_Economic_Loss,D,average,100,09,2166.27,0.24,00_00_00_09
Shipping_Economic_Loss,D&G,average,20,00,2207.73,1.0,00_00_00_00
Shipping_Economic_Loss,D&G,average,20,01,1768.37,0.8,00_00_00_01
Shipping_Economic_Loss,D&G,average,20,02,1914.93,0.87,00_00_00_02
Shipping_Economic_Loss,D&G,average,20,04,1296.73,0.59,00_00_00_04
Shipping_Economic_Loss,D&G,average,20,05,1296.73,0.59,00_00_00_05
Shipping_Economic_Loss,D&G,average,20,07,1030.59,0.47,00_00_00_07
Shipping_Economic_Loss,D&G,average,20,08,1030.59,0.47,00_00_00_08
Shipping_Economic_Loss,D&G,average,20,09,1030.59,0.47,00_00_00_09
Shipping_Economic_Loss,D&G,average,60,00,5513.18,1.0,00_00_00_00
Shipping_Economic_Loss,D&G,average,60,01,3196.54,0.58,00_00_00_01
Shipping_Economic_Loss,D&G,average,60,02,4724.57,0.86,00_00_00_02
Shipping_Economic_Loss,D&G,average,60,04,4442.93,0.81,00_00_00_04
Shipping_Economic_Loss,D&G,average,60,05,3715.96,0.67,00_00_00_05
Shipping_Economic_Loss,D&G,average,60,07,1575.1,0.29,00_00_00_07
Shipping_Economic_Loss,D&G,average,60,08,1575.1,0.29,00_00_00_08
Shipping_Economic_Loss,D&G,average,60,09,1575.1,0.29,00_00_00_09
Shipping_Economic_Loss,D&G,average,100,00,8681.76,1.0,00_00_00_00
Shipping_Economic_Loss,D&G,average,100,01,4544.17,0.52,00_00_00_01
Shipping_Economic_Loss,D&G,average,100,02,7417.86,0.85,00_00_00_02
Shipping_Economic_Loss,D&G,average,100,04,7365.52,0.85,00_00_00_04
Shipping_Economic_Loss,D&G,average,100,05,5516.85,0.64,00_00_00_05
Shipping_Economic_Loss,D&G,average,100,07,2078.93,0.24,00_00_00_07
Shipping_Economic_Loss,D&G,average,100,08,2078.93,0.24,00_00_00_08
Shipping_Economic_Loss,D&G,average,100,09,2078.93,0.24,00_00_00_09
Shipping_Economic_Loss,D&G&Wp,average,20,00,2262.94,1.0,00_00_00_00
Shipping_Economic_Loss,D&G&Wp,average,20,01,1791.42,0.79,00_00_00_01
Shipping_Economic_Loss,D&G&Wp,average,20,02,1954.32,0.86,00_00_00_02
