objective_parameter,scenario_of_interest,robustness_metric,year,flood_agr,Value,normalized_values,pw_combi
Crop_Loss,D,average,20,00,29.31,0.85,00_00_00_00
Crop_Loss,D,average,20,01,29.37,0.85,01_00_00_00
Crop_Loss,D,average,20,03,29.96,0.87,03_00_00_00
Crop_Loss,D,average,20,05,28.63,0.83,05_00_00_00
Crop_Loss,D,average,20,07,28.63,0.83,07_00_00_00
Crop_Loss,D,average,20,09,29.49,0.86,09_00_00_00
Crop_Loss,D,average,20,11,29.38,0.85,11_00_00_00
Crop_Loss,D,average,20,13,29.21,0.85,13_00_00_00
Crop_Loss,D,average,60,00,75.78,0.62,00_00_00_00
Crop_Loss,D,average,60,01,77.52,0.63,01_00_00_00
Crop_Loss,D,average,60,03,89.32,0.73,03_00_00_00
Crop_Loss,D,average,60,05,70.57,0.57,05_00_00_00
Crop_Loss,D,average,60,07,70.03,0.57,07_00_00_00
Crop_Loss,D,average,60,09,80.73,0.66,09_00_00_00
Crop_Loss,D,average,60,11,75.54,0.61,11_00_00_00
Crop_Loss,D,average,60,13,74.42,0.61,13_00_00_00
Crop_Loss,D,average,100,00,107.42,0.55,00_00_00_00
Crop_Loss,D,average,100,01,114.89,0.58,01_00_00_00
Crop_Loss,D,average,100,03,139.15,0.71,03_00_00_00
Crop_Loss,D,average,100,05,96.73,0.49,05_00_00_00
Crop_Loss,D,average,100,07,95.06,0.48,07_00_00_00
Crop_Loss,D,average,100,09,122.92,0.63,09_00_00_00
Crop_Loss,D,average,100,11,107.13,0.54,11_00_00_00
Crop_Loss,D,average,100,13,104.03,0.53,13_00_00_00
Crop_Loss,D&G,average,20,00,29.81,0.85,00_00_00_00
Crop_Loss,D&G,average,20,01,29.88,0.85,01_00_00_00
Crop_Loss,D&G,average,20,03,30.5,0.87,03_00_00_00
Crop_Loss,D&G,average,20,05,28.9,0.82,05_00_00_00
Crop_Loss,D&G,average,20,07,28.9,0.82,07_00_00_00
Crop_Loss,D&G,average,20,09,29.98,0.85,09_00_00_00
Crop_Loss,D&G,average,20,11,29.88,0.85,11_00_00_00
Crop_Loss,D&G,average,20,13,29.72,0.84,13_00_00_00
Crop_Loss,D&G,average,60,00,78.84,0.61,00_00_00_00
Crop_Loss,D&G,average,60,01,81.9,0.63,01_00_00_00
Crop_Loss,D&G,average,60,03,92.51,0.71,03_00_00_00
Crop_Loss,D&G,average,60,05,72.57,0.56,05_00_00_00
Crop_Loss,D&G,average,60,07,71.99,0.56,07_00_00_00
Crop_Loss,D&G,average,60,09,84.88,0.65,09_00_00_00
Crop_Loss,D&G,average,60,11,78.96,0.61,11_00_00_00
Crop_Loss,D&G,average,60,13,76.46,0.59,13_00_00_00
Crop_Loss,D&G,average,100,00,113.77,0.53,00_00_00_00
Crop_Loss,D&G,average,100,01,123.01,0.57,01_00_00_00
Crop_Loss,D&G,average,100,03,145.1,0.68,03_00_00_00
Crop_Loss,D&G,average,100,05,100.98,0.47,05_00_00_00
Crop_Loss,D&G,average,100,07,99.1,0.46,07_00_00_00
Crop_Loss,D&G,average,100,09,130.91,0.61,09_00_00_00
Crop_Loss,D&G,average,100,11,114.35,0.53,11_00_00_00
Crop_Loss,D&G,average,100,13,107.81,0.5,13_00_00_00
Crop_Loss,D&G&Wp,average,20,00,33.31,0.82,00_00_00_00
Crop_Loss,D&G&Wp,average,20,01,33.43,0.82,01_00_00_00
Crop_Loss,D&G&Wp,average,20,03,34.01,0.84,03_00_00_00
Crop_Loss,D&G&Wp,average,20,05,32.39,0.8,05_00_00_00
Crop_Loss,D&G&Wp,average,20,07,32.39,0.8,07_00_00_00
Crop_Loss,D&G&Wp,average,20,09,33.48,0.82,09_00_00_00
Crop_Loss,D&G&Wp,average,20,11,33.43,0.82,11_00_00_00
Crop_Loss,D&G&Wp,average,20,13,33.22,0.82,13_00_00_00
Crop_Loss,D&G&Wp,average,60,00,97.85,0.55,00_00_00_00
Crop_Loss,D&G&Wp,average,60,01,100.56,0.56,01_00_00_00
Crop_Loss,D&G&Wp,average,60,03,110.83,0.62,03_00_00_00
Crop_Loss,D&G&Wp,average,60,05,90.03,0.5,05_00_00_00
Crop_Loss,D&G&Wp,average,60,07,89.35,0.5,07_00_00_00
Crop_Loss,D&G&Wp,average,60,09,104.54,0.58,09_00_00_00
Crop_Loss,D&G&Wp,average,60,11,97.24,0.54,11_00_00_00
Crop_Loss,D&G&Wp,average,60,13,94.29,0.53,13_00_00_00
Crop_Loss,D&G&Wp,average,100,00,156.84,0.46,00_00_00_00
Crop_Loss,D&G&Wp,average,100,01,163.79,0.48,01_00_00_00
Crop_Loss,D&G&Wp,average,100,03,184.84,0.54,03_00_00_00
Crop_Loss,D&G&Wp,average,100,05,141.17,0.41,05_00_00_00
Crop_Loss,D&G&Wp,average,100,07,138.76,0.41,07_00_00_00
