objective_parameter,scenario_of_interest,robustness_metric,year,flood_agr,Value,normalized_values,pw_combi
Crop_Loss,D,average,20,00,30.03,0.87,00_00_00_00
Crop_Loss,D,average,20,01,30.13,0.87,01_00_00_00
Crop_Loss,D,average,20,03,31.07,0.9,03_00_00_00
Crop_Loss,D,average,20,05,28.94,0.84,05_00_00_00
Crop_Loss,D,average,20,07,28.94,0.84,07_00_00_00
Crop_Loss,D,average,20,09,30.03,0.87,09_00_00_00
Crop_Loss,D,average,20,11,30.13,0.87,11_00_00_00
Crop_Loss,D,average,20,13,29.87,0.86,13_00_00_00
Crop_Loss,D,average,60,00,76.94,0.63,00_00_00_00
Crop_Loss,D,average,60,01,80.13,0.65,01_00_00_00
Crop_Loss,D,average,60,03,94.13,0.76,03_00_00_00
Crop_Loss,D,average,60,05,68.19,0.55,05_00_00_00
Crop_Loss,D,average,60,07,67.44,0.55,07_00_00_00
Crop_Loss,D,average,60,09,82.01,0.67,09_00_00_00
Crop_Loss,D,average,60,11,75.79,0.62,11_00_00_00
Crop_Loss,D,average,60,13,73.93,0.6,13_00_00_00
Crop_Loss,D,average,100,00,109.84,0.56,00_00_00_00
Crop_Loss,D,average,100,01,126.07,0.64,01_00_00_00
Crop_Loss,D,average,100,03,147.57,0.75,03_00_00_00
Crop_Loss,D,average,100,05,90.3,0.46,05_00_00_00
Crop_Loss,D,average,100,07,88.56,0.45,07_00_00_00
Crop_Loss,D,average,100,09,131.45,0.67,09_00_00_00
Crop_Loss,D,average,100,11,107.03,0.54,11_00_00_00
Crop_Loss,D,average,100,13,100.07,0.51,13_00_00_00
Crop_Loss,D&G,average,20,00,30.62,0.87,00_00_00_00
Crop_Loss,D&G,average,20,01,30.74,0.88,01_00_00_00
Crop_Loss,D&G,average,20,03,31.73,0.9,03_00_00_00
Crop_Loss,D&G,average,20,05,29.17,0.83,05_00_00_00
Crop_Loss,D&G,average,20,07,29.17,0.83,07_00_00_00
Crop_Loss,D&G,average,20,09,30.62,0.87,09_00_00_00
Crop_Loss,D&G,average,20,11,30.74,0.88,11_00_00_00
Crop_Loss,D&G,average,20,13,30.47,0.86,13_00_00_00
Crop_Loss,D&G,average,60,00,80.95,0.62,00_00_00_00
Crop_Loss,D&G,average,60,01,86.1,0.66,01_00_00_00
Crop_Loss,D&G,average,60,03,98.29,0.76,03_00_00_00
Crop_Loss,D&G,average,60,05,70.3,0.54,05_00_00_00
Crop_Loss,D&G,average,60,07,69.49,0.54,07_00_00_00
Crop_Loss,D&G,average,60,09,88.33,0.68,09_00_00_00
Crop_Loss,D&G,average,60,11,79.61,0.61,11_00_00_00
Crop_Loss,D&G,average,60,13,75.87,0.58,13_00_00_00
Crop_Loss,D&G,average,100,00,121.05,0.56,00_00_00_00
Crop_Loss,D&G,average,100,01,137.42,0.64,01_00_00_00
Crop_Loss,D&G,average,100,03,156.48,0.73,03_00_00_00
Crop_Loss,D&G,average,100,05,94.72,0.44,05_00_00_00
Crop_Loss,D&G,average,100,07,92.75,0.43,07_00_00_00
Crop_Loss,D&G,average,100,09,144.58,0.67,09_00_00_00
Crop_Loss,D&G,average,100,11,119.0,0.56,11_00_00_00
Crop_Loss,D&G,average,100,13,104.44,0.49,13_00_00_00
Crop_Loss,D&G&Wp,average,20,00,34.17,0.84,00_00_00_00
Crop_Loss,D&G&Wp,average,20,01,34.38,0.85,01_00_00_00
Crop_Loss,D&G&Wp,average,20,03,35.3,0.87,03_00_00_00
Crop_Loss,D&G&Wp,average,20,05,32.7,0.8,05_00_00_00
Crop_Loss,D&G&Wp,average,20,07,32.7,0.8,07_00_00_00
Crop_Loss,D&G&Wp,average,20,09,34.17,0.84,09_00_00_00
Crop_Loss,D&G&Wp,average,20,11,34.38,0.85,11_00_00_00
Crop_Loss,D&G&Wp,average,20,13,34.03,0.84,13_00_00_00
Crop_Loss,D&G&Wp,average,60,00,101.79,0.57,00_00_00_00
Crop_Loss,D&G&Wp,average,60,01,106.21,0.6,01_00_00_00
Crop_Loss,D&G&Wp,average,60,03,117.24,0.66,03_00_00_00
Crop_Loss,D&G&Wp,average,60,05,88.15,0.5,05_00_00_00
Crop_Loss,D&G&Wp,average,60,07,87.22,0.49,07_00_00_00
Crop_Loss,D&G&Wp,average,60,09,110.16,0.62,09_00_00_00
Crop_Loss,D&G&Wp,average,60,11,99.92,0.56,11_00_00_00
Crop_Loss,D&G&Wp,average,60,13,94.28,0.53,13_00_00_00
Crop_Loss,D&G&Wp,average,100,00,173.42,0.51,00_00_00_00
Crop_Loss,D&G&Wp,average,100,01,179.78,0.53,01_00_00_00
Crop_Loss,D&G&Wp,average,100,03,195.02,0.57,03_00_00_00
Crop_Loss,D&G&Wp,average,100,05,135.66,0.4,05_00_00_00
Crop_Loss,D&G&Wp,average,100,07,132.67,0.39,07_00_00_00
Crop_Loss,D&G&Wp,average,100,09,189.89,0.56,09_00_00_00
Crop_Loss,D&G&Wp,average,100,11,166.73,0.49,11_00_00_00
Crop_Loss,D&G&Wp,average,100,13,145.76,0.43,13_00_00_00
Crop_Loss,D&Wp,average,20,00,35.66,0.83,00_00_00_00
Crop_Loss,D&Wp,average,20,01,35.89,0.84,01_00_00_00
Crop_Loss,D&Wp,average,20,03,36.76,0.86,03_00_00_00
Crop_Loss,D&Wp,average,20,05,34.35,0.8,05_00_00_00
Crop_Loss,D&Wp,average,20,07,34.35,0.8,07_00_00_00
Crop_Loss,D&Wp,average,20,09,35.66,0.83,09_00_00_00
Crop_Loss,D&Wp,average,20,11,35.89,0.84,11_00_00_00
Crop_Loss,D&Wp,average,20,13,35.52,0.83,13_00_00_00
Crop_Loss,D&Wp,average,60,00,110.21,0.55,00_00_00_00
Crop_Loss,D&Wp,average,60,01,113.27,0.57,01_00_00_00
Crop_Loss,D&Wp,average,60,03,124.64,0.62,03_00_00_00
Crop_Loss,D&Wp,average,60,05,96.03,0.48,05_00_00_00
Crop_Loss,D&Wp,average,60,07,95.05,0.48,07_00_00_00
Crop_Loss,D&Wp,average,60,09,117.92,0.59,09_00_00_00
Crop_Loss,D&Wp,average,60,11,108.17,0.54,11_00_00_00
Crop_Loss,D&Wp,average,60,13,102.5,0.51,13_00_00_00
Crop_Loss,D&Wp,average,100,00,194.01,0.49,00_00_00_00
Crop_Loss,D&Wp,average,100,01,195.28,0.49,01_00_00_00
Crop_Loss,D&Wp,average,100,03,209.83,0.53,03_00_00_00
Crop_Loss,D&Wp,average,100,05,153.92,0.39,05_00_00_00
Crop_Loss,D&Wp,average,100,07,150.53,0.38,07_00_00_00
Crop_Loss,D&Wp,average,100,09,205.98,0.52,09_00_00_00
