objective_parameter,scenario_of_interest,robustness_metric,year,flood_agr,Value,normalized_values,pw_combi
Crop_Loss,D,average,20,00,34.48,1.0,00_00_00_00
Crop_Loss,D,average,20,01,34.75,1.01,01_00_00_00
Crop_Loss,D,average,20,03,35.51,1.03,03_00_00_00
Crop_Loss,D,average,20,05,33.48,0.97,05_00_00_00
Crop_Loss,D,average,20,07,33.48,0.97,07_00_00_00
Crop_Loss,D,average,20,09,34.48,1.0,09_00_00_00
Crop_Loss,D,average,20,11,34.75,1.01,11_00_00_00
Crop_Loss,D,average,20,13,34.33,1.0,13_00_00_00
Crop_Loss,D,average,60,00,122.99,1.0,00_00_00_00
Crop_Loss,D,average,60,01,133.36,1.08,01_00_00_00
Crop_Loss,D,average,60,03,141.52,1.15,03_00_00_00
Crop_Loss,D,average,60,05,115.28,0.94,05_00_00_00
Crop_Loss,D,average,60,07,115.0,0.94,07_00_00_00
Crop_Loss,D,average,60,09,128.11,1.04,09_00_00_00
Crop_Loss,D,average,60,11,129.05,1.05,11_00_00_00
Crop_Loss,D,average,60,13,120.64,0.98,13_00_00_00
Crop_Loss,D,average,100,00,196.53,1.0,00_00_00_00
Crop_Loss,D,average,100,01,231.22,1.18,01_00_00_00
Crop_Loss,D,average,100,03,244.02,1.24,03_00_00_00
Crop_Loss,D,average,100,05,178.27,0.91,05_00_00_00
Crop_Loss,D,average,100,07,178.8,0.91,07_00_00_00
Crop_Loss,D,average,100,09,220.47,1.12,09_00_00_00
Crop_Loss,D,average,100,11,212.34,1.08,11_00_00_00
Crop_Loss,D,average,100,13,187.61,0.95,13_00_00_00
Crop_Loss,D&G,average,20,00,35.2,1.0,00_00_00_00
Crop_Loss,D&G,average,20,01,35.48,1.01,01_00_00_00
Crop_Loss,D&G,average,20,03,36.29,1.03,03_00_00_00
Crop_Loss,D&G,average,20,05,33.83,0.96,05_00_00_00
Crop_Loss,D&G,average,20,07,33.83,0.96,07_00_00_00
Crop_Loss,D&G,average,20,09,35.2,1.0,09_00_00_00
Crop_Loss,D&G,average,20,11,35.48,1.01,11_00_00_00
Crop_Loss,D&G,average,20,13,35.05,1.0,13_00_00_00
Crop_Loss,D&G,average,60,00,129.66,1.0,00_00_00_00
Crop_Loss,D&G,average,60,01,142.77,1.1,01_00_00_00
Crop_Loss,D&G,average,60,03,149.02,1.15,03_00_00_00
Crop_Loss,D&G,average,60,05,120.45,0.93,05_00_00_00
Crop_Loss,D&G,average,60,07,120.2,0.93,07_00_00_00
Crop_Loss,D&G,average,60,09,137.48,1.06,09_00_00_00
Crop_Loss,D&G,average,60,11,136.17,1.05,11_00_00_00
Crop_Loss,D&G,average,60,13,125.41,0.97,13_00_00_00
Crop_Loss,D&G,average,100,00,214.42,1.0,00_00_00_00
Crop_Loss,D&G,average,100,01,251.98,1.18,01_00_00_00
Crop_Loss,D&G,average,100,03,261.68,1.22,03_00_00_00
Crop_Loss,D&G,average,100,05,191.03,0.89,05_00_00_00
Crop_Loss,D&G,average,100,07,191.63,0.89,07_00_00_00
Crop_Loss,D&G,average,100,09,242.62,1.13,09_00_00_00
