objective_parameter,scenario_of_interest,robustness_metric,year,flood_urb,Value,normalized_values,pw_combi
Municipality_Measure_Costs,D,average,20,00,0.0,0.0,00_00_00_00
Municipality_Measure_Costs,D,average,20,01,21.44,0.07,00_00_01_00
Municipality_Measure_Costs,D,average,20,03,26.81,0.08,00_00_03_00
Municipality_Measure_Costs,D,average,20,05,56.0,0.17,00_00_05_00
Municipality_Measure_Costs,D,average,20,07,145.7,0.44,00_00_07_00
Municipality_Measure_Costs,D,average,20,09,71.0,0.22,00_00_09_00
Municipality_Measure_Costs,D,average,20,11,22.3,0.07,00_00_11_00
Municipality_Measure_Costs,D,average,20,13,37.55,0.12,00_00_13_00
Municipality_Measure_Costs,D,average,60,00,0.0,0.0,00_00_00_00
Municipality_Measure_Costs,D,average,60,01,101.61,0.19,00_00_01_00
Municipality_Measure_Costs,D,average,60,03,100.64,0.18,00_00_03_00
Municipality_Measure_Costs,D,average,60,05,135.92,0.25,00_00_05_00
Municipality_Measure_Costs,D,average,60,07,350.76,0.64,00_00_07_00
Municipality_Measure_Costs,D,average,60,09,150.06,0.27,00_00_09_00
Municipality_Measure_Costs,D,average,60,11,176.69,0.32,00_00_11_00
Municipality_Measure_Costs,D,average,60,13,207.31,0.38,00_00_13_00
Municipality_Measure_Costs,D,average,100,00,0.0,0.0,00_00_00_00
Municipality_Measure_Costs,D,average,100,01,192.75,0.27,00_00_01_00
Municipality_Measure_Costs,D,average,100,03,186.48,0.26,00_00_03_00
Municipality_Measure_Costs,D,average,100,05,147.73,0.2,00_00_05_00
Municipality_Measure_Costs,D,average,100,07,371.66,0.52,00_00_07_00
Municipality_Measure_Costs,D,average,100,09,150.06,0.21,00_00_09_00
Municipality_Measure_Costs,D,average,100,11,394.44,0.55,00_00_11_00
Municipality_Measure_Costs,D,average,100,13,472.39,0.66,00_00_13_00
Municipality_Measure_Costs,D&G,average,20,00,0.0,0.0,00_00_00_00
Municipality_Measure_Costs,D&G,average,20,01,20.93,0.07,00_00_01_00
Municipality_Measure_Costs,D&G,average,20,03,26.66,0.08,00_00_03_00
Municipality_Measure_Costs,D&G,average,20,05,56.0,0.17,00_00_05_00
Municipality_Measure_Costs,D&G,average,20,07,145.7,0.44,00_00_07_00
Municipality_Measure_Costs,D&G,average,20,09,71.0,0.22,00_00_09_00
Municipality_Measure_Costs,D&G,average,20,11,22.15,0.07,00_00_11_00
Municipality_Measure_Costs,D&G,average,20,13,37.28,0.12,00_00_13_00
Municipality_Measure_Costs,D&G,average,60,00,0.0,0.0,00_00_00_00
Municipality_Measure_Costs,D&G,average,60,01,103.73,0.19,00_00_01_00
Municipality_Measure_Costs,D&G,average,60,03,102.67,0.19,00_00_03_00
Municipality_Measure_Costs,D&G,average,60,05,135.92,0.25,00_00_05_00
Municipality_Measure_Costs,D&G,average,60,07,351.28,0.64,00_00_07_00
Municipality_Measure_Costs,D&G,average,60,09,150.06,0.27,00_00_09_00
Municipality_Measure_Costs,D&G,average,60,11,174.29,0.32,00_00_11_00
Municipality_Measure_Costs,D&G,average,60,13,215.92,0.39,00_00_13_00
Municipality_Measure_Costs,D&G,average,100,00,0.0,0.0,00_00_00_00
Municipality_Measure_Costs,D&G,average,100,01,189.23,0.26,00_00_01_00
Municipality_Measure_Costs,D&G,average,100,03,183.11,0.25,00_00_03_00
Municipality_Measure_Costs,D&G,average,100,05,147.73,0.2,00_00_05_00
Municipality_Measure_Costs,D&G,average,100,07,371.66,0.52,00_00_07_00
Municipality_Measure_Costs,D&G,average,100,09,150.06,0.21,00_00_09_00
Municipality_Measure_Costs,D&G,average,100,11,391.41,0.54,00_00_11_00
Municipality_Measure_Costs,D&G,average,100,13,474.99,0.66,00_00_13_00
Municipality_Measure_Costs,D&G&Wp,average,20,00,0.0,0.0,00_00_00_00
