objective_parameter,scenario_of_interest,robustness_metric,year,flood_urb,Value,normalized_values,pw_combi
Municipality_Measure_Costs,D,average,20,00,0.0,0.0,00_00_00_00
Municipality_Measure_Costs,D,average,20,01,21.58,0.07,00_00_01_00
Municipality_Measure_Costs,D,average,20,03,26.85,0.08,00_00_03_00
Municipality_Measure_Costs,D,average,20,05,56.0,0.17,00_00_05_00
Municipality_Measure_Costs,D,average,20,07,145.7,0.44,00_00_07_00
Municipality_Measure_Costs,D,average,20,09,71.0,0.22,00_00_09_00
Municipality_Measure_Costs,D,average,20,11,22.34,0.07,00_00_11_00
Municipality_Measure_Costs,D,average,20,13,37.62,0.12,00_00_13_00
Municipality_Measure_Costs,D,average,60,00,0.0,0.0,00_00_00_00
Municipality_Measure_Costs,D,average,60,01,102.38,0.19,00_00_01_00
Municipality_Measure_Costs,D,average,60,03,100.96,0.18,00_00_03_00
Municipality_Measure_Costs,D,average,60,05,135.92,0.25,00_00_05_00
Municipality_Measure_Costs,D,average,60,07,351.81,0.64,00_00_07_00
Municipality_Measure_Costs,D,average,60,09,150.06,0.27,00_00_09_00
Municipality_Measure_Costs,D,average,60,11,177.35,0.32,00_00_11_00
Municipality_Measure_Costs,D,average,60,13,208.45,0.38,00_00_13_00
Municipality_Measure_Costs,D,average,100,00,0.0,0.0,00_00_00_00
Municipality_Measure_Costs,D,average,100,01,194.23,0.27,00_00_01_00
Municipality_Measure_Costs,D,average,100,03,188.1,0.26,00_00_03_00
Municipality_Measure_Costs,D,average,100,05,147.73,0.2,00_00_05_00
Municipality_Measure_Costs,D,average,100,07,371.66,0.52,00_00_07_00
Municipality_Measure_Costs,D,average,100,09,150.06,0.21,00_00_09_00
Municipality_Measure_Costs,D,average,100,11,396.34,0.55,00_00_11_00
Municipality_Measure_Costs,D,average,100,13,475.49,0.66,00_00_13_00
Municipality_Measure_Costs,D&G,average,20,00,0.0,0.0,00_00_00_00
Municipality_Measure_Costs,D&G,average,20,01,21.0,0.07,00_00_01_00
Municipality_Measure_Costs,D&G,average,20,03,26.68,0.08,00_00_03_00
Municipality_Measure_Costs,D&G,average,20,05,56.0,0.17,00_00_05_00
Municipality_Measure_Costs,D&G,average,20,07,145.7,0.44,00_00_07_00
Municipality_Measure_Costs,D&G,average,20,09,71.0,0.22,00_00_09_00
Municipality_Measure_Costs,D&G,average,20,11,22.17,0.07,00_00_11_00
Municipality_Measure_Costs,D&G,average,20,13,37.32,0.12,00_00_13_00
Municipality_Measure_Costs,D&G,average,60,00,0.0,0.0,00_00_00_00
Municipality_Measure_Costs,D&G,average,60,01,106.03,0.2,00_00_01_00
Municipality_Measure_Costs,D&G,average,60,03,104.74,0.19,00_00_03_00
