objective_parameter,pw_combi,scenario_of_interest,robustness_metric,year,Value,normalized_values,flood_agr,drought_agr,flood_urb,drought_shp
Crop_Loss,00_00_00_00,D,average,20,34.48,1.0,00,00,00,00
Crop_Loss,00_00_00_00,D,average,60,122.99,1.0,00,00,00,00
Crop_Loss,00_00_00_00,D,average,100,196.53,1.0,00,00,00,00
Crop_Loss,00_00_00_00,D&G,average,20,35.2,1.0,00,00,00,00
Crop_Loss,00_00_00_00,D&G,average,60,129.66,1.0,00,00,00,00
Crop_Loss,00_00_00_00,D&G,average,100,214.42,1.0,00,00,00,00
Crop_Loss,00_00_00_00,D&G&Wp,average,20,40.61,1.0,00,00,00,00
Crop_Loss,00_00_00_00,D&G&Wp,average,60,178.62,1.0,00,00,00,00
Crop_Loss,00_00_00_00,D&G&Wp,average,100,341.08,1.0,00,00,00,00
Crop_Loss,00_00_00_00,D&Wp,average,20,42.96,1.0,00,00,00,00
Crop_Loss,00_00_00_00,D&Wp,average,60,199.77,1.0,00,00,00,00
Crop_Loss,00_00_00_00,D&Wp,average,100,395.46,1.0,00,00,00,00
Crop_Loss,00_00_00_00,G,average,20,35.91,1.0,00,00,00,00
Crop_Loss,00_00_00_00,G,average,60,136.34,1.0,00,00,00,00
Crop_Loss,00_00_00_00,G,average,100,232.32,1.0,00,00,00,00
Crop_Loss,00_00_00_00,G&Wp,average,20,43.68,1.0,00,00,00,00
Crop_Loss,00_00_00_00,G&Wp,average,60,206.44,1.0,00,00,00,00
Crop_Loss,00_00_00_00,G&Wp,average,100,413.36,1.0,00,00,00,00
Crop_Loss,00_00_00_00,Wp,average,20,51.44,1.0,00,00,00,00
Crop_Loss,00_00_00_00,Wp,average,60,276.55,1.0,00,00,00,00
Crop_Loss,00_00_00_00,Wp,average,100,594.4,1.0,00,00,00,00
Crop_Loss,00_00_00_01,D,average,20,34.48,1.0,00,00,00,01
Crop_Loss,00_00_00_01,D,average,60,122.99,1.0,00,00,00,01
Crop_Loss,00_00_00_01,D,average,100,196.53,1.0,00,00,00,01
Crop_Loss,00_00_00_01,D&G,average,20,35.2,1.0,00,00,00,01
Crop_Loss,00_00_00_01,D&G,average,60,129.66,1.0,00,00,00,01
Crop_Loss,00_00_00_01,D&G,average,100,214.42,1.0,00,00,00,01
Crop_Loss,00_00_00_01,D&G&Wp,average,20,40.61,1.0,00,00,00,01
Crop_Loss,00_00_00_01,D&G&Wp,average,60,178.62,1.0,00,00,00,01
Crop_Loss,00_00_00_01,D&G&Wp,average,100,341.08,1.0,00,00,00,01
Crop_Loss,00_00_00_01,D&Wp,average,20,42.96,1.0,00,00,00,01
Crop_Loss,00_00_00_01,D&Wp,average,60,199.77,1.0,00,00,00,01
Crop_Loss,00_00_00_01,D&Wp,average,100,395.46,1.0,00,00,00,01
Crop_Loss,00_00_00_01,G,average,20,35.91,1.0,00,00,00,01
Crop_Loss,00_00_00_01,G,average,60,136.34,1.0,00,00,00,01
Crop_Loss,00_00_00_01,G,average,100,232.32,1.0,00,00,00,01
Crop_Loss,00_00_00_01,G&Wp,average,20,43.68,1.0,00,00,00,01
Crop_Loss,00_00_00_01,G&Wp,average,60,206.44,1.0,00,00,00,01
Crop_Loss,00_00_00_01,G&Wp,average,100,413.36,1.0,00,00,00,01
Crop_Loss,00_00_00_01,Wp,average,20,51.44,1.0,00,00,00,01
Crop_Loss,00_00_00_01,Wp,average,60,276.55,1.0,00,00,00,01
Crop_Loss,00_00_00_01,Wp,average,100,594.4,1.0,00,00,00,01
Crop_Loss,00_00_00_02,D,average,20,34.48,1.0,00,00,00,02
Crop_Loss,00_00_00_02,D,average,60,122.99,1.0,00,00,00,02
Crop_Loss,00_00_00_02,D,average,100,196.53,1.0,00,00,00,02
Crop_Loss,00_00_00_02,D&G,average,20,35.2,1.0,00,00,00,02
Crop_Loss,00_00_00_02,D&G,average,60,129.66,1.0,00,00,00,02
Crop_Loss,00_00_00_02,D&G,average,100,214.42,1.0,00,00,00,02
Crop_Loss,00_00_00_02,D&G&Wp,average,20,40.61,1.0,00,00,00,02
Crop_Loss,00_00_00_02,D&G&Wp,average,60,178.62,1.0,00,00,00,02
Crop_Loss,00_00_00_02,D&G&Wp,average,100,341.08,1.0,00,00,00,02
Crop_Loss,00_00_00_02,D&Wp,average,20,42.96,1.0,00,00,00,02
Crop_Loss,00_00_00_02,D&Wp,average,60,199.77,1.0,00,00,00,02
Crop_Loss,00_00_00_02,D&Wp,average,100,395.46,1.0,00,00,00,02
Crop_Loss,00_00_00_02,G,average,20,35.91,1.0,00,00,00,02
Crop_Loss,00_00_00_02,G,average,60,136.34,1.0,00,00,00,02
Crop_Loss,00_00_00_02,G,average,100,232.32,1.0,00,00,00,02
Crop_Loss,00_00_00_02,G&Wp,average,20,43.68,1.0,00,00,00,02
Crop_Loss,00_00_00_02,G&Wp,average,60,206.44,1.0,00,00,00,02
Crop_Loss,00_00_00_02,G&Wp,average,100,413.36,1.0,00,00,00,02
Crop_Loss,00_00_00_02,Wp,average,20,51.44,1.0,00,00,00,02
Crop_Loss,00_00_00_02,Wp,average,60,276.55,1.0,00,00,00,02
Crop_Loss,00_00_00_02,Wp,average,100,594.4,1.0,00,00,00,02
Crop_Loss,00_00_00_04,D,average,20,34.48,1.0,00,00,00,04
Crop_Loss,00_00_00_04,D,average,60,122.99,1.0,00,00,00,04
Crop_Loss,00_00_00_04,D,average,100,196.53,1.0,00,00,00,04
Crop_Loss,00_00_00_04,D&G,average,20,35.2,1.0,00,00,00,04
Crop_Loss,00_00_00_04,D&G,average,60,129.66,1.0,00,00,00,04
Crop_Loss,00_00_00_04,D&G,average,100,214.42,1.0,00,00,00,04
Crop_Loss,00_00_00_04,D&G&Wp,average,20,40.61,1.0,00,00,00,04
Crop_Loss,00_00_00_04,D&G&Wp,average,60,178.62,1.0,00,00,00,04
Crop_Loss,00_00_00_04,D&G&Wp,average,100,341.08,1.0,00,00,00,04
Crop_Loss,00_00_00_04,D&Wp,average,20,42.96,1.0,00,00,00,04
Crop_Loss,00_00_00_04,D&Wp,average,60,199.77,1.0,00,00,00,04
Crop_Loss,00_00_00_04,D&Wp,average,100,395.46,1.0,00,00,00,04
Crop_Loss,00_00_00_04,G,average,20,35.91,1.0,00,00,00,04
Crop_Loss,00_00_00_04,G,average,60,136.34,1.0,00,00,00,04
Crop_Loss,00_00_00_04,G,average,100,232.32,1.0,00,00,00,04
Crop_Loss,00_00_00_04,G&Wp,average,20,43.68,1.0,00,00,00,04
Crop_Loss,00_00_00_04,G&Wp,average,60,206.44,1.0,00,00,00,04
Crop_Loss,00_00_00_04,G&Wp,average,100,413.36,1.0,00,00,00,04
Crop_Loss,00_00_00_04,Wp,average,20,51.44,1.0,00,00,00,04
Crop_Loss,00_00_00_04,Wp,average,60,276.55,1.0,00,00,00,04
